Distance_(inches),Gray_Value
0.000000,36.3333
0.003333,33.4277
0.006667,32.7281
0.010000,31.3725
0.013333,33.8615
0.016667,34.3965
0.020000,35.6103
0.023333,35.5924
0.026667,34.9372
0.030000,34.9025
0.033333,32.4418
0.036667,34.9926
0.040000,36.2992
0.043333,34.2151
0.046667,38.0499
0.050000,39.6517
0.053333,38.7064
0.056667,39.1744
0.060000,39.7470
0.063333,39.9583
0.066667,40.2308
0.070000,43.3016
0.073333,43.3333
0.076667,42.7403
0.080000,40.1265
0.083333,40.6600
0.086667,43.1487
0.090000,40.4624
0.093333,40.4534
0.096667,39.6032
0.100000,38.6140
0.103333,38.1575
0.106667,35.8624
0.110000,35.2298
0.113333,32.8758
0.116667,33.7642
0.120000,33.1921
0.123333,31.2778
0.126667,33.1667
0.130000,31.7955
0.133333,33.6122
0.136667,33.5481
0.140000,31.7516
0.143333,32.8094
0.146667,33.3767
0.150000,32.6363
0.153333,30.7765
0.156667,27.3191
0.160000,28.7969
0.163333,31.5231
0.166667,29.0725
0.170000,28.9786
0.173333,31.3620
0.176667,30.5951
0.180000,30.7659
0.183333,27.7310
0.186667,28.4681
0.190000,28.4583
0.193333,28.4007
0.196667,27.6852
0.200000,28.6602
0.203333,28.2825
0.206667,28.1173
0.210000,27.0910
0.213333,28.3463
0.216667,26.9192
0.220000,28.1233
0.223333,25.1242
0.226667,26.9455
0.230000,27.6402
0.233333,26.4760
0.236667,25.8377
0.240000,25.9612
0.243333,24.3725
0.246667,25.6034
0.250000,24.4626
0.253333,29.0000
