Distance_(inches),Gray_Value
0.000000,27.0000
0.003333,28.5898
0.006667,25.4245
0.010000,25.1348
0.013333,24.1094
0.016667,20.6979
0.020000,24.7148
0.023333,24.8125
0.026667,26.8333
0.030000,30.2712
0.033333,32.0534
0.036667,27.8988
0.040000,28.5573
0.043333,23.8854
0.046667,22.9505
0.050000,22.0781
0.053333,23.2500
0.056667,23.8962
0.060000,25.0404
0.063333,27.2962
0.066667,29.0729
0.070000,28.0238
0.073333,26.9492
0.076667,24.0101
0.080000,22.0000
0.083333,21.7559
0.086667,22.7422
0.090000,21.7998
0.093333,20.5156
0.096667,17.6331
0.100000,15.1549
0.103333,15.6872
0.106667,15.5000
0.110000,14.6667
0.113333,15.7409
0.116667,15.6660
0.120000,14.5104
0.123333,14.9548
0.126667,12.9154
0.130000,12.8861
0.133333,12.8958
0.136667,12.3441
0.140000,14.5299
0.143333,14.5625
0.146667,13.9896
0.150000,13.3581
0.153333,12.0104
0.156667,12.1878
0.160000,10.9167
0.163333,9.3493
0.166667,8.7161
0.170000,8.7715
0.173333,9.0156
0.176667,8.2865
0.180000,8.6185
0.183333,6.2015
0.186667,4.7292
0.190000,4.1270
0.193333,2.5781
0.196667,6.2031
0.200000,4.6667
0.203333,4.6667
0.206667,4.6992
0.210000,5.9958
0.213333,4.6667
