Distance_(inches),Gray_Value
0.000000,38.3333
0.003333,40.0667
0.006667,42.6667
0.010000,43.6000
0.013333,40.6667
0.016667,45.1667
0.020000,45.4000
0.023333,50.9000
0.026667,46.7333
0.030000,45.9667
0.033333,42.6667
0.036667,47.9000
0.040000,49.0667
0.043333,46.1333
0.046667,49.1333
0.050000,47.3333
0.053333,46.6000
0.056667,47.0333
0.060000,46.3333
0.063333,43.2333
0.066667,46.3333
0.070000,52.0000
0.073333,41.8000
0.076667,52.5333
0.080000,43.4667
0.083333,41.1667
0.086667,47.1333
0.090000,49.1333
0.093333,43.8000
0.096667,51.2000
0.100000,46.3333
0.103333,39.5333
0.106667,49.0667
0.110000,46.1333
0.113333,44.1333
0.116667,47.3333
0.120000,45.7333
0.123333,44.0667
0.126667,42.8667
0.130000,40.8667
0.133333,34.6667
0.136667,36.9667
0.140000,38.8000
0.143333,40.6667
0.146667,36.8667
0.150000,38.3333
0.153333,35.6667
0.156667,37.2333
0.160000,40.6667
0.163333,36.3333
0.166667,30.3333
0.170000,31.1333
0.173333,36.0000
0.176667,35.1667
0.180000,34.8667
0.183333,32.5000
0.186667,37.5333
0.190000,34.0667
0.193333,34.6667
0.196667,35.5667
0.200000,27.3333
0.203333,34.6667
0.206667,34.2667
0.210000,32.6667
0.213333,32.6667
0.216667,34.5000
0.220000,34.6667
0.223333,35.1667
0.226667,33.0667
0.230000,30.9333
0.233333,34.6667
0.236667,33.2333
0.240000,34.6667
0.243333,29.8333
0.246667,28.5333
0.250000,30.6667
0.253333,34.6667
0.256667,31.6333
0.260000,30.8000
0.263333,35.0333
0.266667,36.3333
0.270000,32.4333
0.273333,36.7333
0.276667,32.1333
0.280000,33.4667
0.283333,35.5000
0.286667,31.0667
0.290000,32.1333
0.293333,27.9333
0.296667,28.8333
0.300000,32.6667
