Distance_(inches),Gray_Value
0.000000,61.0000
0.003333,60.7658
0.006667,60.7617
0.010000,59.0156
0.013333,61.8750
0.016667,65.5709
0.020000,64.8731
0.023333,62.4996
0.026667,66.1727
0.030000,70.1438
0.033333,61.4187
0.036667,63.5605
0.040000,60.3370
0.043333,62.7237
0.046667,63.8339
0.050000,65.3939
0.053333,66.4012
0.056667,67.0714
0.060000,64.8932
0.063333,66.0005
0.066667,66.8488
0.070000,67.2736
0.073333,66.6174
0.076667,65.1856
0.080000,62.3069
0.083333,63.2255
0.086667,60.9656
0.090000,60.5060
0.093333,63.5826
0.096667,64.1425
0.100000,65.3627
0.103333,65.7182
0.106667,66.1806
0.110000,65.2038
0.113333,64.3103
0.116667,68.7466
0.120000,65.2367
0.123333,66.0401
0.126667,66.4510
0.130000,65.6711
0.133333,67.2585
0.136667,71.7488
0.140000,68.8990
0.143333,67.1443
0.146667,64.1160
0.150000,63.1168
0.153333,62.2097
0.156667,56.6425
0.160000,59.0028
0.163333,58.0450
0.166667,55.9708
0.170000,62.1325
0.173333,60.0570
0.176667,59.2489
0.180000,59.9346
0.183333,59.2868
0.186667,57.6335
0.190000,56.4898
0.193333,54.2183
0.196667,52.6730
0.200000,55.6421
0.203333,55.2736
0.206667,52.3975
0.210000,55.9715
0.213333,52.6503
0.216667,54.8881
0.220000,54.8483
0.223333,45.7453
0.226667,51.9447
0.230000,53.7320
0.233333,51.2645
0.236667,53.9843
0.240000,54.9533
0.243333,53.7600
0.246667,54.3080
0.250000,51.2612
0.253333,53.1541
0.256667,52.2943
0.260000,52.3111
0.263333,51.2145
0.266667,54.3021
0.270000,50.7803
0.273333,56.1427
0.276667,54.6382
0.280000,53.7754
0.283333,49.7241
0.286667,51.1467
0.290000,50.3677
0.293333,50.4362
0.296667,47.9003
0.300000,50.0923
0.303333,50.0140
0.306667,54.2617
0.310000,52.1979
0.313333,51.5118
0.316667,47.7920
0.320000,48.0785
0.323333,50.3333
