Distance_(inches),Gray_Value
0.000000,52.0000
0.003333,51.1268
0.006667,57.4160
0.010000,59.7215
0.013333,58.7974
0.016667,66.6698
0.020000,68.1290
0.023333,65.9216
0.026667,63.5211
0.030000,63.3333
0.033333,59.5043
0.036667,59.1475
0.040000,61.6223
0.043333,60.5031
0.046667,63.1909
0.050000,68.3267
0.053333,73.2545
0.056667,70.4588
0.060000,68.6087
0.063333,76.3604
0.066667,74.1235
0.070000,79.1946
0.073333,79.5123
0.076667,76.5982
0.080000,74.7114
0.083333,71.2484
0.086667,69.1503
0.090000,68.9868
0.093333,70.0828
0.096667,70.8218
0.100000,70.8304
0.103333,67.5556
0.106667,66.8044
0.110000,66.7863
0.113333,66.6175
0.116667,64.5336
0.120000,65.8429
0.123333,64.7921
0.126667,63.3333
0.130000,64.7988
0.133333,65.7592
0.136667,66.4122
0.140000,64.4527
0.143333,60.4120
0.146667,56.5412
0.150000,54.5331
0.153333,53.2940
0.156667,52.1383
0.160000,51.4079
0.163333,51.2497
0.166667,52.4083
0.170000,51.8339
0.173333,51.4946
0.176667,49.8408
0.180000,49.8214
0.183333,52.7436
0.186667,53.7943
0.190000,51.5300
0.193333,50.1439
0.196667,48.7815
0.200000,49.1075
0.203333,49.0298
0.206667,50.8889
0.210000,51.3458
0.213333,47.2707
0.216667,49.1784
0.220000,52.3625
0.223333,49.2560
0.226667,46.6608
0.230000,51.4530
0.233333,53.6106
0.236667,51.6057
0.240000,50.2751
0.243333,50.7385
0.246667,49.7402
0.250000,47.7215
0.253333,48.4603
0.256667,46.1090
0.260000,45.3434
0.263333,49.5383
0.266667,46.5054
0.270000,45.3094
0.273333,42.8616
0.276667,45.1035
0.280000,43.5193
0.283333,45.7771
0.286667,41.3770
0.290000,41.4998
0.293333,42.8193
0.296667,45.0952
0.300000,42.5480
0.303333,39.6039
0.306667,41.3709
0.310000,38.3333
