Distance_(inches),Gray_Value
0.000000,30.6667
0.003333,35.5008
0.006667,32.9038
0.010000,32.1490
0.013333,31.5000
0.016667,31.2877
0.020000,30.6667
0.023333,32.8133
0.026667,36.8718
0.030000,35.3974
0.033333,37.5449
0.036667,38.8854
0.040000,36.9103
0.043333,36.8021
0.046667,37.0865
0.050000,38.4583
0.053333,41.6667
0.056667,39.9167
0.060000,41.1667
0.063333,39.1338
0.066667,39.4487
0.070000,40.5080
0.073333,38.3686
0.076667,38.4439
0.080000,40.5897
0.083333,42.7572
0.086667,35.7083
0.090000,38.3478
0.093333,38.2179
0.096667,40.0513
0.100000,38.7051
0.103333,39.1739
0.106667,38.3846
0.110000,38.5649
0.113333,38.7500
0.116667,39.3782
0.120000,39.4615
0.123333,36.7740
0.126667,37.0064
0.130000,36.6562
0.133333,37.6154
0.136667,35.8045
0.140000,36.6538
0.143333,36.7540
0.146667,36.9872
0.150000,34.5168
0.153333,33.0256
0.156667,33.0857
0.160000,33.8718
0.163333,32.4255
0.166667,32.3333
0.170000,31.2516
0.173333,29.8333
0.176667,28.8269
0.180000,28.8590
0.183333,29.9239
0.186667,26.8718
0.190000,25.4575
0.193333,28.0833
0.196667,26.4343
0.200000,26.0385
0.203333,26.3189
0.206667,26.6635
0.210000,25.5417
0.213333,27.0000
0.216667,27.4375
0.220000,23.3750
0.223333,24.4559
0.226667,25.5897
0.230000,26.0144
0.233333,25.9231
0.236667,27.6482
0.240000,27.7692
0.243333,28.7099
0.246667,26.2500
0.250000,27.5721
0.253333,27.0256
0.256667,24.7284
0.260000,23.8750
0.263333,25.0970
0.266667,23.6667
0.270000,23.5825
0.273333,22.2404
0.276667,22.1002
0.280000,23.4744
0.283333,24.7604
0.286667,23.0096
0.290000,23.4143
0.293333,24.6923
0.296667,25.7620
0.300000,24.4199
0.303333,25.9583
0.306667,24.8846
0.310000,24.4679
0.313333,23.5064
0.316667,24.7163
0.320000,23.4103
0.323333,23.0016
0.326667,22.8013
0.330000,24.7804
0.333333,24.3077
0.336667,22.3005
0.340000,24.0032
0.343333,21.3910
0.346667,20.3333
