Distance_(inches),Gray_Value
0.000000,22.0000
0.003333,23.6900
0.006667,23.7429
0.010000,23.7323
0.013333,23.6463
0.016667,25.0519
0.020000,25.3906
0.023333,25.4287
0.026667,25.6686
0.030000,25.5185
0.033333,27.4324
0.036667,26.5999
0.040000,26.3826
0.043333,27.0000
0.046667,24.4808
0.050000,23.8740
0.053333,27.2398
0.056667,29.6091
0.060000,27.2621
0.063333,25.2864
0.066667,26.8858
0.070000,27.8493
0.073333,29.0000
0.076667,27.6438
0.080000,27.0566
0.083333,29.1511
0.086667,26.3631
0.090000,27.8489
0.093333,29.5547
0.096667,30.9480
0.100000,28.2055
0.103333,27.6050
0.106667,27.0270
0.110000,26.7308
0.113333,27.4216
0.116667,23.8671
0.120000,23.8922
0.123333,25.3161
0.126667,22.7281
0.130000,25.1754
0.133333,21.0192
0.136667,24.3966
0.140000,23.7389
0.143333,20.9907
0.146667,20.7515
0.150000,24.1208
0.153333,23.5297
0.156667,23.3842
0.160000,22.9004
0.163333,23.8746
0.166667,23.6607
0.170000,24.7253
0.173333,23.2895
0.176667,21.0977
0.180000,22.3203
0.183333,23.2050
0.186667,22.1708
0.190000,22.1314
0.193333,22.7981
0.196667,22.9132
0.200000,23.0315
0.203333,22.5013
0.206667,21.0261
0.210000,21.3535
0.213333,21.8593
0.216667,20.7343
0.220000,22.0000
0.223333,21.8686
0.226667,21.4367
0.230000,20.5541
0.233333,21.3230
0.236667,19.3358
0.240000,21.1327
0.243333,20.3333
