"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000227232.5",95.0185298914458,-0.151383610171402,0.232120330033388,0.0731507844362428,0.320260323282411
"ENSG00000238009.6",108.497104323491,-0.0665548852377079,0.16344193169631,0.349083483386663,0.689300916474215
"ENSG00000233750.3",4.96975799760357,0.0337216396945358,0.171617898089385,0.0275573083607735,NA
"ENSG00000268903.1",2.52176576938972,-0.00648580384876844,0.166609011584281,0.628268074662623,NA
"ENSG00000269981.1",5.58706244212375,0.0057800625373588,0.165899565496978,0.774739349690883,NA
"ENSG00000241860.6",20.7418525290025,0.0147099270954308,0.163519606471366,0.693635538580664,NA
"ENSG00000279928.2",14.4292758971478,0.0500861875636326,0.175199080108272,0.111343357703111,NA
"ENSG00000279457.4",238.917096902088,0.0690705719239667,0.1471061072788,0.408490860856263,0.73666362643172
"ENSG00000228463.10",28.5991063101984,-0.00267513811772527,0.161080781992062,0.947450009045238,NA
"ENSG00000237094.12",97.866082787124,-0.093108952856618,0.181854573503705,0.189674984434528,0.519361636775551
"ENSG00000230021.10",253.134015552627,-0.0557193311166937,0.147258219806936,0.482999093381601,0.7868379929691
"ENSG00000228794.8",663.920910760672,-0.0441015390778639,0.118129088969822,0.58612115371178,0.843515381638264
"ENSG00000272438.1",36.8842570063999,0.0147578946173231,0.161526768239403,0.74334266993233,0.914501684744178
"ENSG00000223764.2",21.0559906508165,0.00174457352252651,0.1631184400458,0.963070337130721,NA
"ENSG00000187634.11",34.6416785948625,0.0269633027826362,0.162959373177389,0.56037225444494,0.8283592752702
"ENSG00000188976.10",578.457977037781,-0.0916006226217183,0.135630097279397,0.305056606639381,0.645158964742416
"ENSG00000187961.13",93.4387224751501,0.101197353993406,0.190802718791258,0.145438564145175,0.455413105537148
"ENSG00000187583.10",130.243240248749,0.562306655890797,0.399836279147998,0.00620579346068984,0.0694853042409171
"ENSG00000187642.9",36.4876724030312,1.42595788657168,0.742711606979418,0.00151191434159952,0.0266006424981111
"ENSG00000272512.1",43.5042070693038,-0.00158742609838882,0.158337153431103,0.972541461093822,0.992828645015714
"ENSG00000188290.10",18.2570197603872,-0.0012052850942495,0.163151275555238,0.969515771189436,NA
"ENSG00000187608.9",401.782824428076,-0.845451945290119,0.220906317824216,7.05093156877154e-06,0.000429769695546493
