Distance_(inches),Gray_Value
0.000000,32.3333
0.003333,32.5681
0.006667,31.9686
0.010000,31.2516
0.013333,32.0671
0.016667,33.5828
0.020000,34.2642
0.023333,36.1971
0.026667,38.5975
0.030000,36.3962
0.033333,34.3291
0.036667,35.5954
0.040000,36.9308
0.043333,37.1153
0.046667,38.6667
0.050000,40.8365
0.053333,42.5367
0.056667,43.6185
0.060000,45.3333
0.063333,47.6226
0.066667,48.0084
0.070000,46.6478
0.073333,45.8218
0.076667,46.0713
0.080000,44.1950
0.083333,40.5052
0.086667,39.0776
0.090000,39.1447
0.093333,40.5451
0.096667,43.5849
0.100000,45.7044
0.103333,46.9455
0.106667,48.0503
0.110000,46.5283
0.113333,41.1321
0.116667,35.7757
0.120000,31.4151
0.123333,29.2872
0.126667,30.0000
0.130000,31.6792
0.133333,33.9916
0.136667,35.5618
0.140000,36.4780
0.143333,36.1153
0.146667,33.4528
0.150000,31.0000
0.153333,30.9811
0.156667,31.9099
0.160000,30.7233
0.163333,26.7358
0.166667,22.7757
0.170000,20.7925
0.173333,19.5073
0.176667,18.0000
0.180000,17.5094
0.183333,17.0084
0.186667,16.0922
0.190000,15.7987
0.193333,16.0273
0.196667,15.9895
0.200000,15.6855
0.203333,16.7589
0.206667,19.3732
0.210000,21.4465
0.213333,24.3333
0.216667,27.6667
0.220000,30.7736
0.223333,32.9140
0.226667,33.6667
0.230000,35.5094
0.233333,38.3187
0.236667,40.5702
0.240000,43.9182
0.243333,46.2180
0.246667,45.0922
0.250000,43.4088
0.253333,43.6080
0.256667,45.2495
0.260000,46.5660
0.263333,47.3082
0.266667,47.2998
0.270000,43.5409
0.273333,38.1237
0.276667,34.1971
0.280000,30.9119
0.283333,27.7442
0.286667,26.3522
0.290000,24.8679
0.293333,21.9539
0.296667,18.6813
0.300000,15.8428
0.303333,13.0524
0.306667,9.8763
0.310000,7.2138
0.313333,5.3333
0.316667,3.9266
0.320000,3.2767
0.323333,2.9203
0.326667,3.0000
0.330000,3.3396
0.333333,3.6562
0.336667,4.0000
0.340000,4.6667
0.343333,5.0000
0.346667,4.0000
0.350000,3.3333
0.353333,2.3333
0.356667,2.3333
0.360000,2.7107
0.363333,2.6771
0.366667,2.1551
0.370000,1.6667
0.373333,1.5451
0.376667,1.5618
0.380000,2.1572
0.383333,3.1195
0.386667,3.1698
0.390000,2.2956
0.393333,1.6457
0.396667,1.3249
0.400000,0.6918
0.403333,0.7254
0.406667,1.3795
0.410000,1.7296
0.413333,2.0000
0.416667,2.3333
0.420000,3.0000
0.423333,2.5933
0.426667,2.0000
0.430000,1.3333
0.433333,0.6667
0.436667,0.3333
0.440000,0.1195
0.443333,0.0000
0.446667,0.0000
0.450000,0.0000
0.453333,0.3333
0.456667,0.7379
0.460000,1.3711
0.463333,1.6709
0.466667,2.3040
0.470000,3.2075
0.473333,3.5702
0.476667,3.6017
0.480000,3.6667
0.483333,3.3333
0.486667,3.3333
0.490000,3.1321
0.493333,3.1488
0.496667,2.4969
0.500000,2.5472
0.503333,2.4633
0.506667,1.7652
0.510000,1.1321
0.513333,0.5828
0.516667,0.3333
0.520000,0.3836
0.523333,0.3669
0.526667,0.3333
0.530000,9.476E-14
