Distance_(inches),Gray_Value
0.000000,12.6667
0.003333,20.6583
0.006667,30.6000
0.010000,40.1583
0.013333,48.6000
0.016667,56.7917
0.020000,62.0667
0.023333,62.5167
0.026667,60.8000
0.030000,57.7667
0.033333,51.7500
0.036667,45.5083
0.040000,40.4000
0.043333,35.2250
0.046667,31.9000
0.050000,31.9167
0.053333,35.3333
0.056667,39.3833
0.060000,40.4000
0.063333,40.0500
0.066667,41.5000
0.070000,42.4417
0.073333,41.3500
0.076667,40.2750
0.080000,39.3333
0.083333,35.2500
0.086667,31.8500
0.090000,30.4000
0.093333,31.7000
0.096667,31.5583
0.100000,30.1667
0.103333,28.9333
0.106667,27.6667
0.110000,23.9583
0.113333,19.3000
0.116667,14.2083
0.120000,10.1667
0.123333,8.4333
0.126667,7.0833
0.130000,7.7083
0.133333,8.0000
0.136667,9.2750
0.140000,9.2500
0.143333,9.5417
0.146667,10.1667
0.150000,12.4583
0.153333,14.1333
0.156667,14.6083
0.160000,14.3333
0.163333,13.0000
0.166667,11.7500
0.170000,11.0917
0.173333,11.2000
0.176667,12.2083
0.180000,13.8000
0.183333,16.4583
0.186667,21.0667
0.190000,25.1500
0.193333,28.4333
0.196667,31.0500
0.200000,32.0000
0.203333,33.6000
0.206667,35.3500
0.210000,33.5583
0.213333,30.3333
0.216667,29.0000
0.220000,28.4167
0.223333,26.5250
0.226667,24.3667
0.230000,23.6417
0.233333,25.7500
0.236667,29.6333
0.240000,34.8000
0.243333,38.1167
0.246667,35.5833
0.250000,34.9167
0.253333,36.9667
0.256667,38.2500
0.260000,36.4667
0.263333,34.7167
0.266667,33.6667
0.270000,32.3333
0.273333,30.7167
0.276667,28.3583
0.280000,24.0333
0.283333,20.3333
0.286667,17.6167
0.290000,15.5500
0.293333,12.9333
0.296667,10.4833
0.300000,9.8333
0.303333,10.3667
0.306667,10.4000
0.310000,9.4417
0.313333,7.8833
0.316667,6.5000
0.320000,5.0667
0.323333,4.2417
0.326667,3.5167
0.330000,2.3333
0.333333,1.6667
0.336667,1.3333
0.340000,1.0333
0.343333,1.0500
0.346667,1.5333
0.350000,2.2083
0.353333,2.7667
0.356667,3.2250
0.360000,4.3667
0.363333,5.1500
0.366667,6.0833
0.370000,5.5167
0.373333,5.2000
0.376667,4.5500
0.380000,3.6167
0.383333,2.9167
0.386667,2.0000
0.390000,2.3083
0.393333,3.0000
0.396667,3.6500
0.400000,4.0000
0.403333,3.3667
0.406667,2.0500
0.410000,1.3583
0.413333,0.7333
0.416667,0.6667
0.420000,0.6667
0.423333,1.3333
0.426667,1.4000
0.430000,1.7417
0.433333,2.3333
0.436667,3.0000
0.440000,3.3333
0.443333,3.3333
0.446667,3.3333
0.450000,3.3333
0.453333,3.3333
0.456667,3.6667
0.460000,3.8167
0.463333,3.4917
0.466667,3.6667
0.470000,4.0000
0.473333,5.0000
0.476667,5.5250
0.480000,6.2667
0.483333,6.7500
0.486667,6.1000
0.490000,5.6667
0.493333,5.8667
0.496667,6.7583
0.500000,7.0000
0.503333,7.0417
0.506667,6.8000
0.510000,6.6833
0.513333,6.8667
0.516667,6.8333
0.520000,6.7667
0.523333,5.7417
0.526667,5.7000
0.530000,5.6833
0.533333,6.3333
