Distance_(inches),Gray_Value
0.000000,18.0000
0.003333,22.0303
0.006667,24.7374
0.010000,28.3788
0.013333,30.3131
0.016667,30.2071
0.020000,29.1212
0.023333,28.7879
0.026667,27.2929
0.030000,25.8030
0.033333,24.5354
0.036667,24.8333
0.040000,25.5758
0.043333,26.3283
0.046667,29.3535
0.050000,32.5606
0.053333,33.1717
0.056667,31.9899
0.060000,32.2121
0.063333,34.0909
0.066667,35.4646
0.070000,35.5606
0.073333,33.5556
0.076667,33.8535
0.080000,35.6970
0.083333,39.1616
0.086667,44.2727
0.090000,50.5909
0.093333,55.1010
0.096667,55.2677
0.100000,52.7576
0.103333,50.3737
0.106667,48.8586
0.110000,45.1667
0.113333,40.9293
0.116667,37.1919
0.120000,35.8788
0.123333,36.3990
0.126667,36.7576
0.130000,36.8030
0.133333,36.7273
0.136667,35.8838
0.140000,34.8485
0.143333,34.4646
0.146667,35.8889
0.150000,36.0152
0.153333,33.0303
0.156667,29.8081
0.160000,27.1818
0.163333,25.5051
0.166667,24.8283
0.170000,25.6667
0.173333,26.0000
0.176667,26.1970
0.180000,27.2424
0.183333,26.2778
0.186667,24.0505
0.190000,21.9091
0.193333,21.7980
0.196667,22.4192
0.200000,22.3636
0.203333,20.4394
0.206667,17.8788
0.210000,17.2273
0.213333,17.6061
0.216667,16.6364
0.220000,15.0000
0.223333,13.3485
0.226667,12.6768
0.230000,12.6667
0.233333,12.6263
0.236667,11.2576
0.240000,9.5455
0.243333,7.8586
0.246667,5.2525
0.250000,3.9545
0.253333,3.3333
0.256667,3.3333
0.260000,3.0606
0.263333,2.4646
0.266667,2.0000
0.270000,2.0000
0.273333,2.0000
0.276667,1.6667
0.280000,1.3333
0.283333,1.3333
0.286667,1.6667
0.290000,2.2273
0.293333,2.7778
0.296667,3.2172
0.300000,2.7576
0.303333,2.2071
0.306667,2.0000
0.310000,1.6667
0.313333,1.6667
0.316667,1.8535
0.320000,2.1818
0.323333,3.1768
0.326667,3.6768
0.330000,3.5000
0.333333,3.3333
0.336667,3.1768
0.340000,3.6970
0.343333,4.5606
0.346667,5.7677
0.350000,6.4545
0.353333,6.7374
0.356667,6.2879
0.360000,5.5455
0.363333,4.7828
0.366667,4.2222
0.370000,3.7727
0.373333,3.4343
0.376667,3.0960
0.380000,2.3333
0.383333,1.6667
0.386667,1.6667
0.390000,1.3333
0.393333,0.8081
0.396667,0.7980
0.400000,0.7879
0.403333,1.3889
0.406667,2.0505
0.410000,2.4242
0.413333,3.0000
0.416667,2.3333
0.420000,1.6667
0.423333,0.6667
0.426667,0.6465
0.430000,0.6515
0.433333,0.6667
0.436667,1.3232
0.440000,1.6667
