Distance_(inches),Gray_Value
0.000000,95.000
0.003333,90.996
0.006667,88.000
0.010000,87.679
0.013333,85.066
0.016667,81.811
0.020000,80.247
0.023333,78.593
0.026667,76.230
0.030000,76.519
0.033333,76.790
0.036667,75.288
0.040000,79.802
0.043333,89.959
0.046667,96.700
0.050000,98.074
0.053333,97.947
0.056667,100.741
0.060000,104.926
0.063333,103.848
0.066667,100.934
0.070000,98.444
0.073333,94.004
0.076667,92.572
0.080000,94.531
0.083333,95.794
0.086667,97.597
0.090000,100.556
0.093333,100.169
0.096667,98.975
0.100000,96.370
0.103333,92.276
0.106667,87.510
0.110000,77.901
0.113333,64.313
0.116667,49.432
0.120000,37.259
0.123333,29.247
0.126667,22.782
0.130000,18.136
0.133333,14.992
0.136667,11.835
0.140000,9.667
0.143333,8.156
0.146667,8.609
0.150000,8.889
0.153333,9.486
0.156667,9.646
0.160000,10.012
0.163333,9.992
0.166667,9.560
0.170000,8.407
0.173333,6.811
0.176667,5.679
0.180000,5.444
0.183333,5.440
0.186667,4.770
0.190000,3.667
0.193333,3.667
0.196667,4.000
0.200000,4.667
0.203333,5.667
0.206667,6.901
0.210000,7.222
0.213333,7.210
0.216667,7.263
0.220000,8.247
0.223333,8.230
0.226667,7.774
0.230000,7.568
0.233333,6.909
0.236667,6.835
0.240000,6.222
0.243333,5.267
0.246667,4.000
0.250000,4.000
0.253333,4.667
0.256667,5.333
0.260000,6.309
0.263333,6.658
0.266667,7.658
0.270000,7.667
