Distance_(inches),Gray_Value
0.000000,48.0000
0.003333,59.0995
0.006667,65.5323
0.010000,68.6318
0.013333,69.3980
0.016667,71.7065
0.020000,76.4826
0.023333,79.3333
0.026667,80.3383
0.030000,82.5373
0.033333,82.8507
0.036667,81.9901
0.040000,78.9453
0.043333,75.3333
0.046667,73.3333
0.050000,74.7065
0.053333,77.0000
0.056667,74.5771
0.060000,70.2189
0.063333,70.0000
0.066667,73.0000
0.070000,78.1443
0.073333,83.1194
0.076667,84.6667
0.080000,84.9304
0.083333,85.5771
0.086667,85.9801
0.090000,84.6716
0.093333,84.1493
0.096667,82.9950
0.100000,78.4627
0.103333,72.9403
0.106667,67.9602
0.110000,65.8507
0.113333,67.8408
0.116667,71.3184
0.120000,73.0796
0.123333,71.2040
0.126667,65.4478
0.130000,57.6667
0.133333,49.6468
0.136667,43.2189
0.140000,40.3831
0.143333,40.1990
0.146667,40.8408
0.150000,40.5075
0.153333,39.2189
0.156667,36.2090
0.160000,33.9950
0.163333,32.5224
0.166667,31.1940
0.170000,31.8806
0.173333,34.4279
0.176667,36.9403
0.180000,41.0498
0.183333,45.1741
0.186667,49.1791
0.190000,51.4179
0.193333,51.1095
0.196667,49.8010
0.200000,48.8109
0.203333,46.5174
0.206667,44.7910
0.210000,43.1990
0.213333,41.6318
0.216667,38.4478
0.220000,35.3731
0.223333,32.6667
0.226667,29.8259
0.230000,26.8010
0.233333,24.1841
0.236667,23.0000
0.240000,23.3731
0.243333,23.0796
0.246667,20.8557
0.250000,17.8657
0.253333,15.0000
0.256667,12.7512
0.260000,11.3930
0.263333,11.0348
0.266667,11.0100
0.270000,9.9851
0.273333,9.2537
0.276667,8.3980
0.280000,8.0000
0.283333,7.6667
0.286667,7.2786
0.290000,6.4975
0.293333,5.6667
0.296667,5.0000
0.300000,4.6667
0.303333,5.0697
0.306667,6.3333
0.310000,7.6269
0.313333,9.3234
0.316667,10.2736
0.320000,9.5025
0.323333,7.5075
0.326667,5.6667
0.330000,4.6667
0.333333,3.8209
0.336667,3.3333
0.340000,3.0000
0.343333,2.7910
0.346667,3.0945
0.350000,3.5572
0.353333,4.5473
0.356667,4.9851
0.360000,5.7065
0.363333,5.7562
0.366667,5.6667
0.370000,5.5721
0.373333,5.4279
0.376667,4.5672
0.380000,3.6617
0.383333,3.6119
0.386667,3.1144
0.390000,2.3333
0.393333,2.2687
0.396667,2.2935
0.400000,2.3184
0.403333,2.3532
0.406667,2.0000
0.410000,1.6667
0.413333,1.5821
0.416667,1.5572
0.420000,2.0647
0.423333,2.3632
0.426667,2.9303
0.430000,3.9552
0.433333,4.2637
0.436667,4.3731
0.440000,4.0647
0.443333,4.1741
0.446667,4.0000
