Genes	G:\18.8.23_Michal\CSSdp12_S1-B12_1_3444.d.dia	G:\18.8.23_Michal\CSSdp11_S1-B11_1_3443.d.dia	G:\18.8.23_Michal\CSSdp10_S1-B10_1_3442.d.dia	G:\18.8.23_Michal\CSSde9_S1-B9_1_3441.d.dia	G:\18.8.23_Michal\CSSde8_S1-B8_1_3440.d.dia	G:\18.8.23_Michal\CSSnp6_S1-B6_1_3438.d.dia	G:\18.8.23_Michal\CSSnp5_S1-B5_1_3437.d.dia	G:\18.8.23_Michal\CSSnp4_S1-B4_1_3436.d.dia	G:\18.8.23_Michal\CSSne3_S1-B3_1_3435.d.dia	G:\18.8.23_Michal\CSSne2_S1-B2_1_3434.d.dia	G:\18.8.23_Michal\CSSne1_S1-B1_1_3433.d.dia	G:\18.8.23_Michal\CSSde7_S1-B7_1_3439.d.dia
ATG12	12971.2	6943.16	8386.12	13279.1	12347.7	13156.2	12107.1	17379.9	16105.1	11990.2	9776.12	12688.8
ATG16L1	16340.6	20504.5	17647.5	18306.6	20055.8	16394.4	15667.9	16965.4	13757.4	12771.7	15817.5	12786.3
ATG2B	157384	76220.6	109636	160263	153524	131949	116886	133059	104254	102456	149153	117047
ATG3	13462.3	16248.8	11510.2	14626.8	18606.2	13038.2	14329.2	17333.1	12473.4	13473.2	14987.6	14987.2
ATG4B	12382	14083.5	13023	21233.2	23092.8	16791.9	17722.9	15002.4	17148.5	19857.1	21770.9	21090.9
ATG4C	3284.66	2630.42	3680.06	2584.79	1857.66	3217.05	3298.75	3108.7	3631.11	3933.23	2186.91	3987.31
ATG5	48944.8	59733.1	66323.3	49785.1	40350	31115.4	71169.4	46480.7	81765.7	76987.5	66263.3	72028.4
ATG7	17311.9	18687.8	16670.5	12193	13894.3	12719.5	20492.6	17538.7	15590.3	13898.1	16896.7	16713.8
ATIC	274777	272571	282093	274186	258311	292708	280018	287768	248706	261204	248645	247487
ATL2	25033.5	26471	29153.3	30459.4	26412	30878.7	32782.4	26096.2	43612.5	40870.8	40637.5	38336.4
ATL3	60321.4	69792.7	80021.2	66912.9	75830.9	75915.8	70981.6	73010.1	51479.3	53116.8	64667.8	44861.6
ATN1	13728.4	15589.5	11369.4	10584.8	12669.4	19852.9	12187.3	15557.5	14502.9	15149	11386.3	12705.4
ATOX1	106380	104635	99792.1	105593	117651	102812	90204	101658	87078.8	87514.8	77986	102942
ATP11A	19905.7	11189.2	15250.2	10972	9672.48	12685.3	15490.3	11731.6	7482.43	10245.7	17549	14894.8
ATP11C	7058.74	6122.12	5692.57	3739.99	6552.19	3492.69	7487.08	6238.23	9013.78	6907.16	7899.31	10336.2
ATP13A1	11163.8	10327.8	8841.49	10372.2	11709.8	7215.72	11128.1	8803.32	13993.5	11901.5	9432.78	17834.8
ATP13A3	10696.1	12909.9	14451	11398.1	12373.4	9145.27	12919.9	11000.2	11957.9	13132.2	10440	11592.6
ATP1A1	237428	266803	248543	257516	253674	253824	229050	253609	202852	214061	226104	195914
ATP1A3	11310.7	7537.91	12900.7	10757.9	12353.5	9011.62	11487.9	12691.3	20178.7	18633.9	12741.2	15042.9
ATP1B1	41419.6	44426.7	36131.3	43141.4	45795.2	47699.6	41529.7	47294.7	41261.2	30921	34162.3	26228.9
ATP1B3	52323.6	52524.5	54428.6	48358	45116	47013.9	43758.7	47423.7	43661.5	44156.3	41460.4	42209.1
ATP2A2	114280	102517	106676	109212	92256.2	87852.4	123537	104364	152110	133327	111648	121631
ATP2B1	20565.5	22306.7	23168.7	23411	19755.8	22886.3	23354.3	20813.9	18898.2	20289.3	18273.5	17235.9
ATP2B2	19421	20077.9	17453.7	19299	16537	5721.84	34378.3	21236.8	31136.7	39479.8	33457.2	35988
ATP2B3	20766.2				19591.9		26711.1	21700.1				
ATP2B4	7098.13	8009.56	10111.4	9505.51	8739.73	8245.15	9274.27	9302.01	8028.74	8866.29	8680.57	9938.87
ATP2C1	22215.8	23330.6	20161.8	20105.9	23482.7	22897.8	19266	22762.1	14387.1	12470.7	21184.7	14933
ATP5F1A	461231	480275	453915	453221	490122	486115	416270	480105	334435	340282	388858	334851
ATP5F1B	647835	641964	606601	614282	664365	633984	598259	674985	558410	505402	562970	504704
ATP5F1C	151720	147465	160419	136401	143148	138268	159206	172857	147004	144509	153839	133283
ATP5F1D	3276.46	5737.77	5117.02	5939.97	11862.7	6882.32	4898.33	7454.81	6151.75	7386.33	7418.27	4891.35
ATP5IF1	37330.6	49053.5	35090.1	43972.3	44638.9	41943.8	35280.1	18517.3	26999.1	39015.7	34637.7	14964.3
ATP5ME	39271.1	37039.9	40238.7	36445.1	34842.8	34243.7	37968	39125.2	29353.9	35322.4	37083.1	36157
ATP5MF	24670.2	22317.3	26803	19707.4	27334.4	21958.3	31388.6	23882.4	31090.7	37868.9	29283	33846.6
ATP5MG	150397	137976	140179	154050	129767	155773	147203	155396	142246	145165	142237	159629
ATP5MJ	10509.5	7576.98	7684.3	5373.8	6902.25	6447.86	9241.89	8947.69	11302.7	8335.97	9498.78	9000.38
ATP5MK	136057	126620	111545	119587	137110	119814	92731.1	118473	101029	91853.1	100383	86935.1
ATP5PB	494446	441726	531730	489140	405492	505589	529939	538891	475262	405013	564502	436176
ATP5PD	455881	446074	319538	430445	519406	507309	447152	510604	308389	332527	395271	305455
ATP5PF	137685	141694	120797	150672	128670	224761	119261	165083	108001	115976	148814	98135.7
ATP5PO	164888	197818	116749	166973	229603	214928	117416	188361	82518.4	55528.4	96361.1	53103.1
ATP6AP1	20492.3	20798.8	21384.1	24169.4	22964.3	22970.5	22589.8	22811.8	22650	19935.8	21245	20660.7
ATP6AP2	19144.3	20715.1	18893.3	20086.7	18737.5	17300.7	20207.9	18779.5	18999.6	17713.7	20081.5	16843.5
