Genes	G:\18.8.23_Michal\CSSdp12_S1-B12_1_3444.d.dia	G:\18.8.23_Michal\CSSdp11_S1-B11_1_3443.d.dia	G:\18.8.23_Michal\CSSdp10_S1-B10_1_3442.d.dia	G:\18.8.23_Michal\CSSde9_S1-B9_1_3441.d.dia	G:\18.8.23_Michal\CSSde8_S1-B8_1_3440.d.dia	G:\18.8.23_Michal\CSSnp6_S1-B6_1_3438.d.dia	G:\18.8.23_Michal\CSSnp5_S1-B5_1_3437.d.dia	G:\18.8.23_Michal\CSSnp4_S1-B4_1_3436.d.dia	G:\18.8.23_Michal\CSSne3_S1-B3_1_3435.d.dia	G:\18.8.23_Michal\CSSne2_S1-B2_1_3434.d.dia	G:\18.8.23_Michal\CSSne1_S1-B1_1_3433.d.dia	G:\18.8.23_Michal\CSSde7_S1-B7_1_3439.d.dia
CMC4	9679.36	7553.44	10014	10803.3	10365	11539.7	5032.56	8769.14	10274.3	8266.55	12097.3	9194.92
CMPK1	86912.9	90834.7	92202.3	82815.7	76048.4	86665.1	77724.7	84086.5	87237.8	85065.1	88849.1	84451.7
CMSS1	36241.1	44687.9	37259.5	34350.3	40765.6	39735.7	35303.2	39625.9	38307.2	34820.7	35363.9	44898.7
CMTR1	16540.7	15934.1	16227.2	13781.4	12102.2	16308.5	15094.5	15725.1	12928.9	14719.4	13042.9	17850.2
CMTR2	15164.6	17198.9	18002.9	15373.2	15228.9	13791	18757.6	17591.2	17915.6	17800.4	18470	18307
CNBP	406578	381759	390499	370556	376486	436539	483481	459436	427741	404238	478252	470202
CNDP2	253531	242508	254601	237189	252045	262865	242128	246254	247691	232490	259198	226721
CNN2	134992	143432	121407	167736	186951	157842	138925	152723	171574	165972	179677	127398
CNN3	258477	301157	251324	263249	286145	269439	273331	260253	223199	212976	205320	222260
CNNM2	2007.57	2277.68	2346.28	2161.32	1131.88	1271.96	3563.81	1888.55	3160.66	3127.19	1751.3	2842.41
CNOT1	32231	30951.4	32611.5	36751.9	35367.4	37308.6	35061.3	35336.1	33425.4	35671.5	38336.7	36806
CNOT10	17264.4	18520.5	19149.4	19992	16340.4	19372.5	20649.9	17140.5	16896.9	19170.6	18976.9	15788.8
CNOT11	25225.1	22980.1	21205.1	29008.9	22896.9	23109.4	24710.6	24430.9	21623.5	22844.7	27673.8	10879.7
CNOT2	6223.78	10067.2	5387.86	10726.1	14258.2	7127.01	8102.45	8153.08	3039.24	4911.07	9827.79	2587.02
CNOT3	29909.8	32800	30116.4	38709.9	37089.9	36520.2	40095.9	38080.3	45915.9	54587.8	49469.8	35735.2
CNOT4	24789.2	23642.2	23257.1	22496.6	20462.6	27500	25041.9	22426.3	20499.7	20742.7	23931.2	19709.8
CNOT6	2945.66	4532.99	3963.5	4566.95	2920.06	4484.44	5432.06	4262.36	3924.96	4249.48	5432.12	3911.42
CNOT7	16831.3	14620.3	16560.2	16790.1	12134.8	15992	15983.4	16186	17686.1	15781.6	16022.6	13951.4
CNOT8	3661.46	2069.7	3155.07	5704.61	6030.72	6155.8	4985.77	4254.42	6386.55	6808.3	6585.17	5467.75
CNOT9	28060.2	29463.7	30869.3	31945.9	29280.9	29170.2	35872.5	27651.5	38488.6	45311	36743.3	42884.8
CNP	54564	49495.6	49480.1	48054.1	48493.6	55195.1	55969.3	58936.8	50780.6	52490.8	50292.7	44756.1
CNPY2	62068.4	59710.3	57822.4	65283.1	59140	60522.8	66051.2	60869.4	70900.2	55809.4	64629	45215.1
CNPY3	20890.7	18400	23564.6	21311	17011.2	15678	24532.6	20476.3	26778.1	27580.8	27354.6	35531.9
CNTRL	8356.1	9589.41	17972.6	12829.2	14086.6		14919.3		14431.6	14694.4	11469	17708
COA1	5015.67	5062.53	6123.3	5352.26	5770.9	5303.49	6651.05	4879.3	8083.68	8635.33	9040.82	7054.01
COA3	17929.1	16992.2	18343.4	15319.1	15224.4	16164.2	22623.7	17428.2	18292.8	11426.9	20895.8	15038.4
COA4		21642.6			33908			13931.4	23348.4			
COA5	14680.1	12185.1	14459.8	9360.75	8176.43	13218.6	11919.6	12934.7	11941.8	7789.29	9733.19	9665.65
COA6	28678.1	27767.5	22099.5	27538.2	27405.4	27105	17629	24580.1	16843.6	16511.8	18979.4	10585.4
COA7	33576.1	34040.4	34941	30097.6	28576.6	33677.2	37603.8	38399.4	32434.5	24212.5	34465.7	34826.6
COA8	3471.71	4793.53	5329.82	6776.98	4472.41	4117.87	3586.09	6034.54	5042.45	4777.04	6686.29	3367.5
COASY	8076.43	7745.85	7908.84	10594.9	10347.5	8487.48	8732.89	8553.15	10154.9	12043.5	12565	9031.82
COBL	4755.4		4184.69	2518.33	2115.22	2329	4498.84	3601.1	5028.33	4551.92	4072.26	5501.71
COBLL1	5508.07	5394.18	5487.8	7003.85	6393.42	4418.15	6447.2	7026.93	6753.88	5338.73	4198.03	6128.1
COG1	7394.56	10733.1	7075.19	9585.32	9777.36	8307.97	5613.49	9166.56	7867.72	12511.9	12200.8	10211.4
COG2	33075.8	28899.6	32367.2	24790.4	19309.1	27942.7	33965.6	28432.9	27445.6	27798.5	30167.2	30675.9
COG3	19075.4	20726.7	18651.1	16380.2	16623.1	17508.9	19720.3	19848.2	15652.8	16600.3	17460.4	16201.1
COG4	27178.9	25691.4	29771.8	23770.7	26070.8	24939	23115.8	24788.5	19521.8	20838.5	22456.3	19744.2
COG5	12494	10729	14568.4	9973.1	6099.53	11397.8	11724.8	13934.8	13892.1	17080.4	13385.8	17942.1
COG6	9918.5	8866.69	7647.79	8405.14	7051.04	9453.29	8763.27	8211.58	6968.66	9506.63	8525.44	10572.7
COG7	12272.1	12046.5	10883.2	11713.9	8510.83	10146.3	8852.08	11311.8	9312.46	8699.91	10848.5	6949.27
COG8	4933.29	5486.65	3516.38	5229.63	7101.64	5083.34	3973.69	6655.21	3011.97	2478.48	4783.92	
COIL	274281	372620	263994	325426	292426	351833	285593	309914	265482	195931	235248	203456
COL13A1	6832.04	6016.37	5501.61	3084.7	3109.27	5541.37	4971.61	5954.33	2778.52	2218.53	3596.31	2306
COL6A1	3045.01	2183.47	3606.19	4568.98	4831.66	1712.5	3110.73	3009.53	5485.55	7503.17	9051.62	5472.5
COL6A2	2558.6	3714.6	2612.56	5139.33	4941.26	3457.4	3326.12	2762.93	7089.82	5511.81	5187.47	4154.79
COLEC11	22831.7	23759.1	21398.2	24420.5	20772.7	23182.5	23703.1	22737.3	25272.5	23693.9	23427.9	19977.4
COLGALT1	51122.8	49301.2	48871.2	46141.6	42251.5	45504.9	51165.7	47642.4	41694.5	43349.6	44091.9	45842.7
COMMD1	11194.3	11796.9	10104.3	10887.3	10180.1	11021.5	10081.2	14644	7824.99	8198.49	8478.66	9062.16
COMMD10	28778.8	32943.2	33308.3	33565.1	33527.9	21501.2	21065.7	31818.3	28028.4	32443.1	32666.3	21458.7
COMMD2	21780.6	16109.8	22372.5	21433.3	22545.6	21825.1	22825.1	21428.2	18526.1	18256.9	19235.8	20548.3
COMMD3	43160.7	48528.3	46626.4	46631.4	48189.7	56841.2	43580.8	50942.9	30842.9	29514.3	52260.7	30767.9
COMMD4	16232.5	15657.5	15470.6	18372.1	22320	14379.5	17960.7	14421.9	24727.2	12450.5	20485.1	18257.4
COMMD5	4919.29	5241.55	7053.51	5538.53	5254.8	5732.98	6030.68	5260.42	6035.25	5196.63	3918.09	6669.28
COMMD6	14295.3	17041.2	12496.6	19938.7	23784.7	20750.9	15373.7	20462.3	14020.8	13088.2	5722.68	13041.7
COMMD8	12189.6	11172.3	14239.6	12760.5	13498.4	14991.5	15431.6	11228.1	20187.8	19268.7	18213.8	21130
COMMD9	9332.91	9631.45	9957.4	9060.12	9924.64	9894.48	7565.33	10983	8148.33	7618.44	8631.3	6542.29
COMT	101029	93015.1	110594	95364.8	95816.7	83121.1	100640	88689	104687	107407	99107.2	116517
COMTD1	1692.69	1280.51	1624.3	1883.9	2346.43	1868.4	1648.49	1802.26		1414.01	2467.02	1910.5
COPA	109221	105544	105156	96469	102037	94611.1	101851	100636	83095.6	85692.4	99499.3	94905.3
COPB1	119476	117098	122766	95141	105231	105433	105584	107809	88421.9	89703.3	100174	102309
COPB2	229901	228410	229431	207983	224867	232280	228953	226963	199624	220773	227413	222315
COPE	69688.6	69160.6	69990.2	70679.4	67903.7	59003.7	62999.8	60048.8	60910.4	51875.3	62659.1	63355.8
COPG1	81772.5	81162	84580.4	81127.3	79819.3	83487.6	85069.6	75854.2	79583	82084.1	83742.2	82403.5
COPG2	36310.9	38322.4	36418.4	35424.1	31967.7	34805.5	35702	38751.6	39196.8	33184.2	39132.8	33142.5
COPRS	57088.5	52440.7	53219.3	49964.4	43521.4	42879.8	50083.6	54860.6	23520.7	27772	58034.7	23295.5
COPS2	70527.8	74073.7	70870	80403.1	83187.3	82520.2	76712.4	81357.8	80197.4	87082	86833.2	77364.3
COPS3	77034.4	76262.9	73488.3	86097.4	83229.8	74770.1	72868.8	74844.7	68297.2	70483.4	77878.5	63848.8
COPS4	84566.6	82145	82773	80918.6	87020.7	86683.9	84439.8	85272.2	85183.5	83225	89625.1	77075.3
COPS5	65870.9	69438.7	57242.3	69351.1	63372.2	61423.3	59818.4	69213.8	57492.1	54223.3	69816.4	62110
COPS6	44875.5	46994.5	45621.1	50283.3	52210.7	43211.3	45127.2	46708.5	44874.4	45591.4	50156	47790.8
COPS7A	94455.1	94484.5	99495.6	92941.8	93349.9	72254.2	120790	100181	169645	177506	136252	142863
COPS7B	13728.8	16285.4	13670.4	16873.7	16785.3	18368.6	17011.4	18482.5	12283.8	10775.1	15711.5	10757.1
COPS8	58066.1	52654.7	53408.7	51729.9	53787.5	59243.2	52260.7	56490.1	47274.1	43866.5	48906.2	43492.9
COPZ1	213437	214251	188177	172072	180427	113340	196654	212335	120168	98496.3	224138	65439.1
COQ3	23668	18795.2	20468.8	15787.4	18911	15174.8	19862.1	16117.1	18950.9	17076	18206.1	17538.8
COQ5	21745.3	22152	20783.2	21589.7	16923.4	16688.7	17764.4	20348.8	21585.9	23951	23535.9	23678.6
COQ6		3307.41		5479.04	4294.17	5952.25						
COQ8A		1861.88	2522.58	5367.59	7964.5	4586.96	1840.15	3171.99	9587.37	9926.82	10179.9	7730.13
COQ8B	2947.79	2537.61	3200.07	5666.9	5578.19	3012.88	3515.87	2866.25	6328.99	5791.67	5770.7	6103.85
COQ9	14858.5	17244.6	13540.8	11755.7	18657.7	14606.6	13984	18545.2	11676.8	9464.86	14500.2	9638.67
CORO1B	94490.5	105604	107042	118424	134469	109933	115085	96190.7	123439	145573	127255	139211
CORO1C	159262	181531	169607	171952	166712	183462	171162	168375	136438	136573	131189	133613
CORO7	1840.4	1569.59			5276.64	2566.92		2343.29			2203.99	
COTL1	167656	198909	167542	143487	184549	135369	130787	165548	78144.8	87109.3	126652	118043
COX11	5445.95	5737.09	5942.85	4471.97	4054.74	4693.38	3567.07	4913.98	3823.29	4223.84	3735.01	4503.27
COX17	157720	160312	124336	135737	137326	131313	126156	153533	111631	123015	111725	109058
COX19	8355.48	6856.72	7974.29	7591.83	6735.23	10526.4	8435.58	11189.7	10266	10009.6	9677.77	8518.05
COX20	19261	18186.4	18077.7	16219.2	24277.3	19027.4	21140.9	18442.5	17171.9	15875.9	16696.5	13900.1
COX4I1	263709	276114	232978	265055	333956	268969	219967	238573	161261	143582	214594	125875
COX5A	219078	225946	248090	231153	227286	276760	260011	224423	268703	224615	249822	221725
COX5B	303223	251650	331975	293505	253676	293004	307638	290557	254161	258963	225776	296752
COX6A1	36965	35809	39177.2	38424.6	29406.3	40869.3	47438.3	44090.2	47964.5	45806.3	41878.9	56389.5
COX6B1	449940	375296	392477	342830	353328	348875	485758	411816	396525	421938	450197	407400
COX6C	44438.6	71474.8	53183.2	68237.8	66647.7	54292	25318	40286.1	38076.6	44017.4	31707.4	35450.3
COX7A2	533061	566014	657308	505409	507279	611392	669613	568577	739318	625963	601340	675952
COX7A2L	25548.5	32186.1	19076.1	29980.5	33159.5	27998.9	8206.67	25923.5	9916.22		15909.2	
COX7B	49795.7	54676.7	54446.4	47639.7	51781.9	48710.1	46444.7	45340.1	37080.3	38573.8	43646.6	32894
COX7C	72934	76254.8	76655.3	61880.3	59053.7	66379	63993.6	70058.9	64149.2	51537.8	66078.5	22281.9
CPA4	9023.93	9952.56	10722.1	8093.6	10420.2	11167.6	11989.8	6073.13	7675.9	8534.55	11601.7	5629.92
CPD	23489	22673.5	24394.5	18901.4	21346.8	20906.2	22328.3	21832.9	17870.6	15892	25194.6	18857.7
CPEB4	2260.76	2537.07	2400.33	1824.99	1753.83	2787.02	4618.25	3201.85	3766.29	4256.71	2668.71	3251.21
CPLX1	13116.2	10460.2	10207.3	12885	7986	13710	11587.9	13526.8	8163.49	9468.46	12520.1	9333.32
CPNE1	25227.7	17439	30796.5	31261.9	30591.2	29267.4	23579.3	26430.7	19571.8	25622.7	34448.9	24982.1
CPNE2	13602.2	12459.6	12985.4	13495.8	12478.6	12375	12969.1	12417.5	9091.28	11101.8	12136.4	10721
CPNE3	170654	187507	178159	169217	181856	169271	186977	178208	175678	171515	185715	160005
CPNE5		7753.25	9550.27			8465.28						6631.27
CPNE7	31501	28931.6	32738.7	33875.3	34634	34139.4	27794.1	33084.8	26543.9	31231.5	33307.9	24867.4
CPNE8	2428.8	2077.49	2042.99	2681.4	2151.68	2459.8	3668.23	2839.41	3345.12	2546.82	3152.89	2887.88
CPOX	567530	519024	532997	479128	484757	537865	595855	619869	531663	585693	588484	514776
CPPED1	10042.1	8477.89	9440.02	9378.76	6808.57	9161.24	7390.39	8355.37	8258.76	10499.8	9984.64	8882.26
CPS1	7240.22	7686.59	7187.82	8033.51	8164.2	9072.33	7598.08	9030.01	9064.95	8062.5	8893.84	7128.32
CPSF1	39209	33302.2	40282.3	43730.2	41504.1	36318.1	35966.9	36391.8	43630.8	43827.3	46884.7	51249.2
CPSF2	28828.1	24584.6	28503.8	23298.7	24409	23367.2	26939.6	25680.4	23472.7	27189	24798.3	28652.6
CPSF3	52398.2	51668.9	54174.8	54448.7	49182.2	56213.3	47682.1	55095.9	41074.6	43523.4	48853.7	39770.7
CPSF4	51620.1	44060.4	40032.9	59258.7	62738.7	70878	43457.8	55952.5	36507.2	38659.1	55107.3	39144
CPSF6	199238	170706	183380	166669	161032	182291	206959	188191	201391	207324	181482	210968
CPSF7	106001	107181	103517	89285.5	90700.5	102112	111511	108543	107681	109498	100233	105047
CPT1A	16857.2	15478.6	16281	16192.1	15401.6	13355.2	14948.6	14176.5	15902.5	16452.8	14471.9	14030
CPT2	24316.2	23004.7	24443.7	20832.4	22146.2	19704.3	23138	22431.4	21966	23868.8	21530.2	22119.9
CRABP2	122140	149419	141158	136890	106373	127742	104451	140267	190664	75113.3	108029	78296.4
CRACR2A	3536.77	4354.62	5514.48	5088.19	5861.38	4465.9	4936.5	4660.81	6499.19	6022.37	6721.41	6420.49
CRADD	6560.63	7836.71	9247.8	6717.38	6124.79	8608.3	6960.03	8333.7	6160.39	7691.46	7434.72	5851.85
CRBN	7053.3	9872.47	7748.71	10634.5	11376.5	15476	6557.98	10474.5	3412.4	8105.18	6963.19	7979.24
CRCP	5126.15	5739.01	6117.71	7840.2	6594.05	5587.25	4901.93	6253.04	7308.04	6526.85	7502.62	6260.48
CREBBP	19162.7	19002.2	18583.1	19665.2	18066	20740.5	18857	17840.1	19118.6	17765.9	19328.4	13523.2
CREG1	6678.07	6485.61	10598	8231.78	8320.14	9050.87	8852.52	8073.53	7776.67	8363.28	7954.46	11485.4
CRELD2	11870.5	14714.2	13232.9	13434	12041.8	13990.1	12357.6	14468.2	11671.4	11149.5	11876.9	7282.27
CRIP1	272002	329563	307758	325442	346664	293173	300759	354695	313813	319227	353264	329113
CRIP2	30360.1	32951.7	33730.1	40542.6	33805	33252.6	28957.7	35999	39863.7	43216.9	43585.6	30622.1
CRIPT	23103.4	24609.7	23232.8	22823.2	24494.7	22654.7	28008.8	29059.9	21890.2	23865.3	22346.5	24366.1
CRK	50694.4	52569.2	53132.8	54094.7	51135	45638.1	52314.6	53136.9	46896.6	46485.7	44408.6	42850.9
CRKL	55936.3	58625.6	52366.3	61790.7	59858.8	57006.1	54545.5	56704	49490.1	49041.5	49352.6	42222.4
CRLF3	17336.3	13694.4	27299.5	18173.5	15842.2	21389.6	23710.6	23427.6	25988.6	26074.1	29720.9	26619.1
CRNKL1	49322.5	49670.4	47788.9	50869.6	49437.4	41661.5	55203.6	49671.5	58711.3	52970.4	53402.5	60234.3
CROCC	6643.26	6653.43	5934.45	10730.1	9175.57	5844.07	6345.77	5093.13	11119.1	10264.2	10011.2	10265.4
CRTAP	37436.5	37639.6	36677.1	38685.9	48142.1	33618.9	31549.2	36595.1	41161.3	18317.2	38971.8	26203
CRTC2	2474.73	2922.41	2783.02	3074.16	4631.83	1908.99	5279.49	4181.2	4850.8	5353.28	6130.87	2576.52
CRTC3	8594.46	9750.72	9637.15	8547.73	6653.19	9836.3	9011.54	8862.05	8180.73	6722.2	7415.26	8499.01
CRY1	6203.36	5849.96	7042.83	6746.72	4022.08	6832.28	8796.33	7230.92	7919.57	3136.16	8341.38	9414.68
CRYBG1	7481.53	8156.81	7248.94	7824.49	7354.55	6698.08	7829.72	8133.99	5366.78	6598.32	8236.07	7775.15
CRYBG3	10430.1	13105.5	11983	9577.78	9373.75	11857.7	13263.4	11860.2	10381.4	10773.9	12326.2	10524.1
CRYZ	48914.1	45526.6	48815.7	46047.6	44916.6	49826.7	48996.7	49451.2	58698.5	47039.4	58602.1	54830.7
CRYZL1	9788.21	13816	12786.2	13422.8	13923.7	14711.5	10078.8	14660.3	15091.1	7751.03	13337.4	14518.7
CS	111533	101459	96943.3	106737	97131.9	99602.5	103861	115766	75476.3	77902.5	89898.5	91150.6
CSDE1	238986	252371	235641	253779	269745	267159	260584	265748	250069	235973	243198	216088
CSE1L	248632	235348	248255	256009	273275	254083	220878	225232	169163	177986	205515	210521
CSK	15824.1	16883.3	19209.2	28754.7	23864.5	18345.1	19712	18794.8	31180.3	28987.5	26690.4	28607.4
CSNK1A1	15324.5	20240.8	16191.8	16631.3	20677.5	16320.6	16133.8	19519.8	15625.1	16944.4	15326.8	16653.3
CSNK1D	15764.7	13809.5	11048.8	26776.2	36378.1	22539.9	15823.2	23060.5	20687.4	18946.9	16081.8	18039.6
CSNK1E	6621.82	13922.6	12067.1	7916.76	9850.34	17486.7	13178.5	12273.4	10715.2	10807.9	12734.8	10011.8
CSNK1G1	7947.6		1485.42	6466.89	5078.93	5967.66	6858.64	6587.6	4383.33		5163.04	5627.35
CSNK1G3	17090.2	10836.5	15325.5	12453.4	10663	12370.9	19964.3	15350.6	23069.8	21618.4	18884.1	22566.9
CSNK2A1	179927	147506	173309	146237	137258	127079	160034	151641	136153	153521	162476	172079
CSNK2A2	28965.4	26914.5	27756.4	25899.2	28759.1	26650.1	29119.6	30678	24701.5	27314.3	25662.9	29698.9
CSNK2B	141724	141941	157520	153956	137370	140722	147556	149601	138515	175952	158072	140744
CSNKA2IP		6733.5	7570.74	7539.63	9067.09	5145.68	2812.48	9018.09	4345.31	6706.61	10218.3	5743.25
CSPP1	6282.48	6541.02	7602.39	6536.54	4625.74	6297.21	6902.13	6914.23	6904.22	4112.29	6618.92	6045.95
CSRP1	111906	107135	115489	105628	112938	112636	108164	121108	102498	113326	113284	105862
CSRP2	32087.9	28202.2	29914.4	29356.4	26585.6	28957.5	33216.1	30044.4	33474.5	32571.1	36375.4	28683.1
CST3	4304.23	5272.13	2101.82		5104.72	3809.63	4789.15	4734.77	4682.68		2410.77	
CSTA	14923.3	12730.8	14958.5	12314.9	14399.1	20151.7	9098.53	9284.94	5026.49	8800.24	9656.45	11274.8
CSTB	126820	143146	114036	139214	145914	131463	108461	136907	101384	75932.5	103398	80290.2
CSTF1	51947.9	46617.6	47852.8	31398.3	37152.5	37464.4	48031.8	42106.7	44368.3	38182.8	41945.5	39144.6
CSTF2	24476.4	34059.1	25360.8	35039.2	30708.3	24542.5	20401.6	23253.6	19233.8	15333.4	14343.1	10828.8
CSTF2T	10746.6	12343.1	12267.4	10466.3	8534.87	13327.8	9493.99	6934.89	13011.3	11617.6	11043.8	11658.2
CSTF3	49210	46241.6	55939.3	40561.7	37188.5	45294.2	45050.3	44333.7	34395.8	39779.9	39093.1	39331.6
CTBP1	60416.5	56665.4	57017.3	64793.6	60966.4	62748.8	59465	60576.1	60129.1	49949	60531.4	58622.2
CTBP2	45460.6	35151.8	42507.9	42390.6	35100.1	38210.9	40039.8	35083	31271.3	32838.7	30824.8	28582.4
CTBS	5437.78	4462.68	4941.48	4898.36	4449.14	7793.75	6789.98	5959.83	6147.16	6994.95	5907.3	5293.72
CTCF	64721.6	68543.1	66649.2	68698.4	59800.4	61036.3	64575.9	71716.5	63368.5	54028.3	62993.1	56382.6
CTDP1	13991.2	15462	11622.4	14598.5	13308.8	13984.8	12012.2	14871.5	13288.2	9881.99	11984.4	10287
CTDSPL	6629.87	8086.66	5075.73	5857.14	5611.53	6065.31	5586.39	5793.98	4829.54	5156.61	6328.77	7768.43
CTDSPL2	25641.6	23360.5	22116.2	22570.3	22726.7	25378.1	29121.4	27694.4	24642	21030	24777.1	23418.5
CTH	25757.8	23205.4	28982	33199.3	27591.8	28825	25404.3	30441.2	13023.1	26106.4	16235.4	16184.3
CTNNA1	80074.3	78567.2	77582.4	84821.6	83835.8	77229.1	77684.6	80481.1	89714.5	76138.4	90848.3	80657.7
CTNNA2	2949.98	4084.91	2836.13	4421.04	4228.27	1837.51	3504.85	2868.03	3426.44	2515.14	3160.71	
CTNNA3			4741.73									
CTNNAL1	23170.6	22300.2	23583.6	20497.9	21993.6	20888.7	23993.9	21564.1	23151.4	23216.1	24593.9	25592.6
CTNNB1	38861.9	33808.8	40201.6	35184.4	38230	35063.1	31164.3	33577.4	30705.1	29896.2	35084.1	35668.4
CTNNBIP1	4948.83	6255.63	7569.27	7444.09	7045.14	4124.72	6195.19	5020.48	6755.19	3003.56	3877.27	2260.17
CTNNBL1	91614.5	93835.8	89141	87972.7	73503.9	91397.9	99033.1	94216.8	97819.1	103612	100073	96148.4
CTNND1	200422	182684	196898	169180	144193	185044	208897	196931	227613	240375	216417	210277
CTNND2	27693.8	28075.5	24741.5	42526.2	25498.4	27876.7	28399.7	29910.3	21586.6	21716.3	26891.2	22669
CTPS1	129347	139642	134834	120833	140274	143084	129861	150572	120710	111499	126722	115904
CTPS2	21602	21824.2	20426.8	18348.4	19002.9	20103.6	19634.8	21826.2	19206.1	20725.8	20092.3	22376.3
CTR9	123097	139042	139412	148217	143840	142579	141044	140308	147608	153067	172277	137716
CTSA	35884.2	36611.2	33740.6	44298.4	51640.1	38407.6	34861.7	36386.9	41452.1	46952.4	49037.7	39725.6
CTSB	69060.9	57204	61773.1	56139	62389.9	65992.7	69059.6	68042.4	79355.4	79686.9	87865.9	84401.5
CTSC	13258.8	13654.5	14293.8	12339.8	12132.9	11919.9	16800	10614.8	16219	17282.7	11477	19481.7
CTSD	333942	318357	317236	355137	307435	284195	310806	353669	264279	350370	441349	313656
CTSL	52823.3	48110.9	44079	51866.4	43204.3	51204.4	43079.1	46252.6	36936.3	29938.5	34658.4	43453.1
CTSV	3836.76	5915.2	3626.42	8231.91	7906.13	5115.25	3374.93	5030.12	3230.94	3947.66	4337.04	3663.11
CTSZ	86875.5	72602.9	89432.9	94070	86276.9	83301.4	79244.6	83151.2	98098	81547.8	85013.1	86852
CTTN	254169	257485	272268	225073	213284	252231	246658	254305	219056	193494	220413	189013
CTTNBP2NL	30955.5	27117.8	23745.1	24118.3	23360.6	25711.7	19890.8	20597.5	26851	28701.1	23237.8	33725.7
CTU1	9359.18	7642.06	8651.33	10363.1	11414.6	16358.7	6742.22	8190.64	12590.8	13371.4	10422.8	11530.5
CTU2	20377.3	22212	20456.5	23214	27392.6	19998.7	20333.4	20996.4	24674.2	26052.3	28815.5	21851.2
CUEDC1	5560.16	2870.85	3905.13	2785.2	3178.81	3333.73	3745.75	4352.26	6604.73	4053.04	3876.15	5327.38
CUEDC2	5769.9	6262.75	8588.43	10128.8	12235.7	8652.16	11417.6	6458.78	11768.4	11769	10951.8	9974.12
CUL1	62469.3	65410.6	68274	57123.7	52856.7	61593.8	66130.1	62958.9	60983.2	59306.8	55534.4	62285
CUL2	45426.4	43955.2	46879.4	43919.5	39549	42890	48281.7	44697.7	42650	43853.1	46945.9	54649.6
CUL3	52948.4	55509.2	53419.3	51396.7	51246.6	53072.5	56227.7	53921.7	51044.8	54643.5	55211.8	54622.6
CUL4A	26011.5	26682.3	26750	22311.2	25222.3	23576.9	26031.7	26140.7	23865	22888	25222.2	21955.3
CUL4B	64892.4	61241.8	70958.4	61434.1	56509.4	63303.5	67067.7	59684.9	67093	77154.1	71107.8	76452.2
CUL5	27058.7	27912	26614.5	25984.9	24721.1	26885	29286	27464.7	28177.8	26955.7	27264.7	26234.5
CUL7	3629.44	1856.84	2558	5324.78	3461.66	1391.18	1869.66	2001.68	5696.75	7331.34	6548.38	3624.32
CUSTOS	8320.58	9142.19	8388.25	7881.8	8336.85	8108.08	6895.38	8525.37	9114.93	6841.64	7863.13	5936.25
CUTA	32423.8	42759.1	33735	49190.6	57792.4	49473.7	30992.5	45541.2	25654.2	44151	36227.3	34448.6
CUTC	76682.1	78775.8	74686	69375.6	63830.7	75818.2	74783	74474.2	79216.6	71310.8	63004.2	70338.9
CUX1	27317.3	25337.7	26012.4	23857.4	22231.7	24680.1	25063.7	24720.4	28874.5	30312	30066	28202
CWC22	14184	10245.5	13395.4	10501.7	11376.9	13306.9	11734.8	10284.1	10379.9	12364.9	13352.7	13288.1
CWC25	21474	17924.4	19027.2	14452.2	18160.3	19030.9	24856.3	24590.8	15043.8	20017.1	20252.5	22485.8
CWC27	18279.2	18187.9	17078.4	15000.3	14597.8	16570.6	16514.5	18837.8	15988.8	16509.7	19022.1	15970.5
CWF19L1	172013	174483	138062	158714	162456	164507	142303	176881	154512	99832.9	139419	101638
CWF19L2	5880.99	5644.22	6130.57	7247.62	5015.68	5181.61	5316.17	7179.42	9757.96	4783.39	6913.76	6961.17
CXADR	11879.8	12238.7	12729.8	14373.3	9588.37	12407.1	9228.74	11466.7	8325.11	11762.2	8325.13	9759.82
CXXC5	4261.01	1650.29	4606.78	4530.7	3785.55	4824.14	5364.27	3439.42	4882.21	3386.73	3724.85	3811.57
CXorf38	14288.5	11054	11307.7	15219.2	12582.6	13017.3	13341.8	12652.3	17318.9	18654.4	16958.4	16610.2
CYB5B	280978	211076	210510	151823	168078	146708	217190	194149	287893	218186	203290	301723
CYB5R1	8517.24	10728.2	9490.68	13048.5	16727.9	12226.6	6046.9	8896.5	7900.86	5796.53	10298.5	11138.1
CYB5R2	13419.7	15231.4	16832.4	13365.2	14607	14468.6	11501.3	14944.7	13002.3	13716.7	13324.3	16261.8
CYB5R3	107732	90392.8	105240	108743	75360.2	88917.5	122093	91125	125751	123622	120614	121417
CYB5R4	9034.33	9742.78	8841.68	6687.54	9947.91	4878.28	7864.21	9773.59	5320.39	6899.21	10057.3	5738.11
CYC1	64873.8	64566	60053.8	69875.2	60522.1	75112.2	72988.2	64968.8	74076.2	73363.9	65833.1	82785.4
CYCS	48005.8	72131.8	57286.6	68944.7	133445	71731	63994.5	61728.3	73473.7	70904.3	66167.5	74858.5
CYFIP1	44879.7	44676.9	43715.4	42955.2	37218.8	41553.7	47383.1	37758.6	46079.5	53352.8	52516.9	51460.3
CYFIP2	19661	19782.8	20183.6	15327.4	13331.8	14787.8	19775.2	13198.6	15593.7	17511.5	22160.4	20090.5
CYP24A1	862.524		920.262	3741.53	4382.13		1022.01			1439.14	2777.8	803.228
