MusMusculus	FelisCatus	short
MusMusculus	HomoSapiens	short
MusMusculus	GallusGallus	medium
MusMusculus	ParusMajor	medium
MusMusculus	ApusApus	medium
MusMusculus	AlligatorMississippiensis	medium
MusMusculus	TrachemysScripta	medium
MusMusculus	CheloniaMydas	medium
MusMusculus	GopherusFlavomarginatus	medium
MusMusculus	EuleptesEuropaea	medium
MusMusculus	ZootocaVivipara	medium
MusMusculus	AnolisCarolinensis	medium
MusMusculus	BufoBufo	medium
MusMusculus	XenopusTropicalis	medium
MusMusculus	BombinaBombina	medium
MusMusculus	GeotrypetesSeraphini	medium
MusMusculus	RhinatremaBivittatum	medium
MusMusculus	MicrocaeciliaUnicolor	medium
MusMusculus	ErpetoichthysCalabaricus	medium
MusMusculus	LatimeriaChalumnae	medium
MusMusculus	ProtopterusAnnectens	medium
MusMusculus	DanioRerio	medium
MusMusculus	SoleaSolea	medium
MusMusculus	XiphiasGladius	medium
MusMusculus	RhincodonTypus	medium
MusMusculus	CarcharodonCarcharias	medium
MusMusculus	AmblyrajaRadiata	medium
FelisCatus	HomoSapiens	short
FelisCatus	GallusGallus	medium
FelisCatus	ParusMajor	medium
FelisCatus	ApusApus	medium
FelisCatus	AlligatorMississippiensis	medium
FelisCatus	TrachemysScripta	medium
FelisCatus	CheloniaMydas	medium
FelisCatus	GopherusFlavomarginatus	medium
FelisCatus	EuleptesEuropaea	medium
FelisCatus	ZootocaVivipara	medium
FelisCatus	AnolisCarolinensis	medium
FelisCatus	BufoBufo	medium
FelisCatus	XenopusTropicalis	medium
FelisCatus	BombinaBombina	medium
FelisCatus	GeotrypetesSeraphini	medium
FelisCatus	RhinatremaBivittatum	medium
FelisCatus	MicrocaeciliaUnicolor	medium
FelisCatus	ErpetoichthysCalabaricus	medium
FelisCatus	LatimeriaChalumnae	medium
FelisCatus	ProtopterusAnnectens	medium
FelisCatus	DanioRerio	medium
FelisCatus	SoleaSolea	medium
FelisCatus	XiphiasGladius	medium
FelisCatus	RhincodonTypus	medium
FelisCatus	CarcharodonCarcharias	medium
FelisCatus	AmblyrajaRadiata	medium
HomoSapiens	GallusGallus	medium
HomoSapiens	ParusMajor	medium
HomoSapiens	ApusApus	medium
HomoSapiens	AlligatorMississippiensis	medium
HomoSapiens	TrachemysScripta	medium
HomoSapiens	CheloniaMydas	medium
HomoSapiens	GopherusFlavomarginatus	medium
HomoSapiens	EuleptesEuropaea	medium
HomoSapiens	ZootocaVivipara	medium
HomoSapiens	AnolisCarolinensis	medium
HomoSapiens	BufoBufo	medium
HomoSapiens	XenopusTropicalis	medium
HomoSapiens	BombinaBombina	medium
HomoSapiens	GeotrypetesSeraphini	medium
HomoSapiens	RhinatremaBivittatum	medium
HomoSapiens	MicrocaeciliaUnicolor	medium
HomoSapiens	ErpetoichthysCalabaricus	medium
HomoSapiens	LatimeriaChalumnae	medium
HomoSapiens	ProtopterusAnnectens	medium
HomoSapiens	DanioRerio	medium
HomoSapiens	SoleaSolea	medium
HomoSapiens	XiphiasGladius	medium
HomoSapiens	RhincodonTypus	medium
HomoSapiens	CarcharodonCarcharias	medium
HomoSapiens	AmblyrajaRadiata	medium
GallusGallus	ParusMajor	short
GallusGallus	ApusApus	short
GallusGallus	AlligatorMississippiensis	medium
GallusGallus	TrachemysScripta	medium
GallusGallus	CheloniaMydas	medium
GallusGallus	GopherusFlavomarginatus	medium
GallusGallus	EuleptesEuropaea	medium
GallusGallus	ZootocaVivipara	medium
GallusGallus	AnolisCarolinensis	medium
GallusGallus	BufoBufo	medium
GallusGallus	XenopusTropicalis	medium
GallusGallus	BombinaBombina	medium
GallusGallus	GeotrypetesSeraphini	medium
GallusGallus	RhinatremaBivittatum	medium
GallusGallus	MicrocaeciliaUnicolor	medium
GallusGallus	ErpetoichthysCalabaricus	medium
GallusGallus	LatimeriaChalumnae	medium
GallusGallus	ProtopterusAnnectens	medium
GallusGallus	DanioRerio	medium
GallusGallus	SoleaSolea	medium
GallusGallus	XiphiasGladius	medium
GallusGallus	RhincodonTypus	medium
GallusGallus	CarcharodonCarcharias	medium
GallusGallus	AmblyrajaRadiata	medium
ParusMajor	ApusApus	short
ParusMajor	AlligatorMississippiensis	medium
ParusMajor	TrachemysScripta	medium
ParusMajor	CheloniaMydas	medium
ParusMajor	GopherusFlavomarginatus	medium
ParusMajor	EuleptesEuropaea	medium
ParusMajor	ZootocaVivipara	medium
ParusMajor	AnolisCarolinensis	medium
ParusMajor	BufoBufo	medium
ParusMajor	XenopusTropicalis	medium
ParusMajor	BombinaBombina	medium
ParusMajor	GeotrypetesSeraphini	medium
ParusMajor	RhinatremaBivittatum	medium
ParusMajor	MicrocaeciliaUnicolor	medium
ParusMajor	ErpetoichthysCalabaricus	medium
ParusMajor	LatimeriaChalumnae	medium
ParusMajor	ProtopterusAnnectens	medium
ParusMajor	DanioRerio	medium
ParusMajor	SoleaSolea	medium
ParusMajor	XiphiasGladius	medium
ParusMajor	RhincodonTypus	medium
ParusMajor	CarcharodonCarcharias	medium
ParusMajor	AmblyrajaRadiata	medium
ApusApus	AlligatorMississippiensis	medium
ApusApus	TrachemysScripta	medium
ApusApus	CheloniaMydas	medium
ApusApus	GopherusFlavomarginatus	medium
ApusApus	EuleptesEuropaea	medium
ApusApus	ZootocaVivipara	medium
ApusApus	AnolisCarolinensis	medium
ApusApus	BufoBufo	medium
ApusApus	XenopusTropicalis	medium
ApusApus	BombinaBombina	medium
ApusApus	GeotrypetesSeraphini	medium
ApusApus	RhinatremaBivittatum	medium
