Distance_(inches),Gray_Value
0.000000,31.0000
0.003333,26.2652
0.006667,24.0510
0.010000,24.1116
0.013333,24.5978
0.016667,24.9208
0.020000,25.6432
0.023333,25.3877
0.026667,26.6143
0.030000,29.2431
0.033333,30.6736
0.036667,29.8333
0.040000,28.3223
0.043333,27.2851
0.046667,26.8678
0.050000,27.9972
0.053333,30.3003
0.056667,32.4408
0.060000,33.2548
0.063333,33.5324
0.066667,32.9284
0.070000,30.0138
0.073333,27.3333
0.076667,28.1178
0.080000,33.2920
0.083333,40.8664
0.086667,48.0937
0.090000,53.8326
0.093333,57.2865
0.096667,57.1453
0.100000,52.8182
0.103333,45.1136
0.106667,38.8568
0.110000,33.0833
0.113333,29.4077
0.116667,27.1198
0.120000,26.4573
0.123333,26.7466
0.126667,29.0055
0.130000,33.7948
0.133333,40.4325
0.136667,44.6171
0.140000,45.7466
0.143333,44.1674
0.146667,43.3333
0.150000,42.9015
0.153333,40.3347
0.156667,36.9663
0.160000,33.7576
0.163333,28.7590
0.166667,22.2328
0.170000,16.0117
0.173333,12.5427
0.176667,10.8430
0.180000,11.1088
0.183333,13.6667
0.186667,15.9063
0.190000,17.4435
0.193333,17.9380
0.196667,17.5999
0.200000,17.8375
0.203333,19.2417
0.206667,20.9187
0.210000,21.4125
0.213333,22.8567
0.216667,25.9780
0.220000,28.3333
0.223333,27.3933
0.226667,23.9091
0.230000,21.5792
0.233333,20.9105
0.236667,20.9752
0.240000,20.1846
0.243333,19.6674
0.246667,19.5634
0.250000,18.8733
0.253333,16.3967
0.256667,14.6667
0.260000,14.3664
0.263333,14.3843
0.266667,13.5427
0.270000,13.2913
0.273333,12.6460
0.276667,11.1804
0.280000,9.7410
0.283333,9.6715
0.286667,10.7934
0.290000,11.6853
0.293333,11.3333
