Distance_(inches),Gray_Value
0.000000,44.6667
0.003333,46.7015
0.006667,44.7015
0.010000,42.2985
0.013333,40.5275
0.016667,41.4348
0.020000,45.0203
0.023333,48.2609
0.026667,49.9623
0.030000,52.3014
0.033333,54.7101
0.036667,56.0145
0.040000,58.3043
0.043333,63.0203
0.046667,69.1971
0.050000,71.3044
0.053333,71.6667
0.056667,69.1594
0.060000,68.1681
0.063333,68.9884
0.066667,66.2899
0.070000,61.5826
0.073333,59.8928
0.076667,59.6667
0.080000,57.0290
0.083333,54.5362
0.086667,51.5391
0.090000,48.3884
0.093333,46.4522
0.096667,46.3536
0.100000,46.0870
0.103333,45.4377
0.106667,44.2232
0.110000,45.3333
0.113333,50.6058
0.116667,57.1884
0.120000,61.7478
0.123333,60.0464
0.126667,55.4522
0.130000,50.6551
0.133333,47.0725
0.136667,47.0029
0.140000,50.7449
0.143333,54.3449
0.146667,58.1333
0.150000,61.4348
0.153333,59.4000
0.156667,56.2783
0.160000,54.1043
0.163333,48.4435
0.166667,42.2609
0.170000,40.2261
0.173333,42.5565
0.176667,46.4899
0.180000,47.7681
0.183333,47.7391
0.186667,49.6841
0.190000,50.3333
0.193333,47.0000
0.196667,42.3333
0.200000,38.3333
0.203333,36.9797
0.206667,38.2551
0.210000,38.8725
0.213333,36.8870
0.216667,35.1594
0.220000,36.3217
0.223333,38.2261
0.226667,39.4522
0.230000,37.8000
0.233333,37.6812
0.236667,39.5507
0.240000,40.9101
0.243333,38.2174
0.246667,35.8087
0.250000,34.1304
0.253333,34.1188
0.256667,36.1015
0.260000,36.9536
0.263333,38.7536
0.266667,41.1739
0.270000,42.9565
0.273333,42.6783
0.276667,39.1884
0.280000,34.4377
0.283333,32.3913
0.286667,32.5101
0.290000,33.8029
0.293333,34.8029
0.296667,35.8174
0.300000,37.8985
0.303333,40.2203
0.306667,40.9333
0.310000,40.8522
0.313333,37.7826
0.316667,34.1739
0.320000,32.3449
0.323333,32.4145
0.326667,35.2870
0.330000,38.5710
0.333333,41.1739
0.336667,42.9623
0.340000,43.0841
0.343333,40.6232
0.346667,37.5681
0.350000,33.9275
0.353333,29.0725
0.356667,25.8145
0.360000,23.8783
0.363333,22.9304
0.366667,22.9420
0.370000,24.2638
0.373333,25.6667
0.376667,28.7014
0.380000,33.0406
0.383333,37.6667
