Distance_(inches),Gray_Value
0.000000,33.6667
0.003333,32.8049
0.006667,30.7460
0.010000,30.1267
0.013333,31.3303
0.016667,35.0250
0.020000,38.9944
0.023333,41.5847
0.026667,42.7572
0.030000,43.2106
0.033333,44.6166
0.036667,47.3685
0.040000,51.0865
0.043333,50.5176
0.046667,46.0986
0.050000,43.4549
0.053333,42.2833
0.056667,40.9920
0.060000,39.3976
0.063333,39.9406
0.066667,44.4818
0.070000,50.6663
0.073333,54.7501
0.076667,53.4997
0.080000,48.2368
0.083333,42.7922
0.086667,39.3720
0.090000,38.8838
0.093333,39.7731
0.096667,41.1451
0.100000,43.6228
0.103333,47.7507
0.106667,49.3069
0.110000,46.5915
0.113333,40.4095
0.116667,33.2764
0.120000,28.9663
0.123333,28.2930
0.126667,26.6028
0.130000,26.3240
0.133333,28.6922
0.136667,32.7407
0.140000,34.8854
0.143333,32.8421
0.146667,31.2120
0.150000,31.4890
0.153333,32.1880
0.156667,31.8747
0.160000,31.4821
0.163333,32.3569
0.166667,34.4733
0.170000,35.3752
0.173333,32.5146
0.176667,28.5792
0.180000,25.4378
0.183333,24.2661
0.186667,24.5803
0.190000,25.8431
0.193333,24.2047
0.196667,21.4959
0.200000,19.3014
0.203333,19.4005
0.206667,21.9249
0.210000,24.0859
0.213333,23.6182
0.216667,19.9568
0.220000,19.0216
0.223333,21.0550
0.226667,24.3511
0.230000,27.7480
0.233333,28.4011
0.236667,25.7359
0.240000,24.4418
0.243333,24.8589
0.246667,27.1932
0.250000,32.2764
0.253333,36.7907
0.256667,38.4632
0.260000,37.2497
0.263333,35.0501
0.266667,35.8507
0.270000,40.0127
0.273333,43.5556
0.276667,45.8363
0.280000,46.4729
0.283333,45.6817
0.286667,42.3413
0.290000,38.8981
0.293333,36.8005
0.296667,32.4610
0.300000,27.1870
0.303333,21.6965
0.306667,16.6509
0.310000,12.6429
0.313333,11.5397
0.316667,12.5189
0.320000,13.5193
0.323333,13.1138
0.326667,11.4743
0.330000,9.4081
0.333333,8.6665
0.336667,7.8335
0.340000,6.3631
0.343333,5.7273
0.346667,6.8100
0.350000,8.5366
0.353333,10.9554
0.356667,12.9863
0.360000,13.2439
0.363333,11.4499
0.366667,8.7078
0.370000,6.2546
0.373333,4.3933
0.376667,3.5393
0.380000,3.1079
0.383333,3.8571
0.386667,5.1271
0.390000,5.5947
0.393333,5.5960
0.396667,3.9621
0.400000,2.2649
0.403333,1.5200
0.406667,2.7952
0.410000,5.3333
