Distance_(inches),Gray_Value
0.000000,35.0000
0.003333,39.8957
0.006667,44.4830
0.010000,47.2900
0.013333,47.6686
0.016667,46.8728
0.020000,44.3114
0.023333,42.1295
0.026667,42.4022
0.030000,43.5686
0.033333,42.8544
0.036667,40.5620
0.040000,38.2344
0.043333,36.6640
0.046667,35.5680
0.050000,33.7226
0.053333,30.7890
0.056667,28.1769
0.060000,26.3081
0.063333,25.1715
0.066667,24.5865
0.070000,22.7836
0.073333,19.1846
0.076667,15.5762
0.080000,13.4612
0.083333,12.9421
0.086667,12.3827
0.090000,11.4738
0.093333,11.0540
0.096667,10.3513
0.100000,10.1901
0.103333,10.4298
0.106667,10.8797
0.110000,11.5702
0.113333,12.0199
0.116667,11.7463
0.120000,11.1430
0.123333,11.0342
0.126667,11.0092
0.130000,11.6285
0.133333,13.6116
0.136667,15.9326
0.140000,16.2014
0.143333,14.5962
0.146667,12.9421
0.150000,12.0110
0.153333,11.0563
0.156667,10.5372
0.160000,10.7405
0.163333,11.3630
0.166667,12.7970
0.170000,15.2010
0.173333,17.4737
0.176667,20.0144
0.180000,22.2300
0.183333,23.5840
0.186667,24.5461
0.190000,24.8664
0.193333,23.6969
0.196667,20.2856
0.200000,16.3844
0.203333,14.6929
0.206667,14.3054
0.210000,13.1460
0.213333,11.6391
0.216667,10.5108
0.220000,10.4325
0.223333,11.3885
0.226667,12.4187
0.230000,13.0173
0.233333,12.4905
0.236667,12.4226
0.240000,12.8766
0.243333,13.0997
0.246667,12.8548
0.250000,12.8359
0.253333,13.6851
0.256667,14.8567
0.260000,15.2248
0.263333,14.7019
0.266667,14.2933
0.270000,14.1050
0.273333,13.9862
0.276667,14.4242
0.280000,15.4667
0.283333,17.1959
0.286667,17.6143
0.290000,17.3747
0.293333,17.7521
0.296667,17.9743
0.300000,17.4766
0.303333,17.3967
0.306667,17.5709
0.310000,17.4039
0.313333,16.9421
0.316667,16.2426
0.320000,15.6607
0.323333,15.8970
0.326667,16.1236
0.330000,16.1763
0.333333,17.2216
0.336667,19.7741
0.340000,22.3333
0.343333,24.2700
0.346667,25.3549
0.350000,25.1960
0.353333,24.4408
0.356667,23.7331
0.360000,23.5675
0.363333,23.6336
0.366667,23.4711
0.370000,22.5100
0.373333,20.1865
0.376667,16.9429
0.380000,14.7107
0.383333,13.3734
0.386667,11.8346
0.390000,11.4325
0.393333,12.2159
0.396667,14.3554
0.400000,16.9559
0.403333,18.0000
