Distance_(inches),Gray_Value
0.000000,16.0000
0.003333,19.5349
0.006667,21.7940
0.010000,21.0740
0.013333,18.8402
0.016667,16.6691
0.020000,16.2014
0.023333,17.0314
0.026667,18.5479
0.030000,20.4812
0.033333,21.7715
0.036667,22.0092
0.040000,20.9660
0.043333,18.3377
0.046667,16.3039
0.050000,16.0552
0.053333,16.2973
0.056667,15.2504
0.060000,13.7420
0.063333,12.6156
0.066667,12.1233
0.070000,11.9912
0.073333,11.7490
0.076667,11.7968
0.080000,11.9909
0.083333,13.0012
0.086667,14.9715
0.090000,18.2570
0.093333,20.2154
0.096667,21.3284
0.100000,20.8442
0.103333,18.8450
0.106667,16.1299
0.110000,14.1434
0.113333,12.2968
0.116667,10.9886
0.120000,10.0548
0.123333,9.7400
0.126667,9.6575
0.130000,10.3464
0.133333,11.1659
0.136667,12.4341
0.140000,14.0228
0.143333,15.7626
0.146667,17.3927
0.150000,18.6682
0.153333,18.0487
0.156667,15.3014
0.160000,11.3083
0.163333,9.0445
0.166667,9.1418
0.170000,11.2664
0.173333,14.8067
0.176667,18.4532
0.180000,20.7135
0.183333,20.0081
0.186667,17.6607
0.190000,14.8370
0.193333,12.2419
0.196667,9.8605
0.200000,8.2331
0.203333,7.5621
0.206667,6.8048
0.210000,6.1663
0.213333,5.0908
0.216667,4.1702
0.220000,3.5936
0.223333,3.1315
0.226667,3.3379
0.230000,4.2717
0.233333,6.4018
0.236667,9.6867
0.240000,12.3293
0.243333,14.5833
0.246667,16.3039
0.250000,16.5945
0.253333,15.7258
0.256667,14.3013
0.260000,12.8426
0.263333,11.8709
0.266667,12.8123
0.270000,15.0124
0.273333,17.8784
0.276667,20.1077
0.280000,22.1860
0.283333,24.4519
0.286667,27.0727
0.290000,28.3976
0.293333,29.9680
0.296667,29.8589
0.300000,28.1431
0.303333,25.3493
0.306667,22.9426
0.310000,21.7017
0.313333,20.0639
0.316667,18.7169
0.320000,17.7721
0.323333,18.5268
0.326667,21.5479
0.330000,24.3059
0.333333,26.7666
0.336667,28.7572
0.340000,31.0114
0.343333,31.6582
0.346667,29.6755
0.350000,26.7556
0.353333,24.9558
0.356667,24.4703
0.360000,24.0651
0.363333,22.4965
0.366667,21.9909
0.370000,20.1096
0.373333,18.5371
0.376667,16.7165
0.380000,15.5646
0.383333,14.9749
0.386667,15.0988
0.390000,15.3383
0.393333,16.3204
0.396667,18.6403
0.400000,20.8588
0.403333,22.3093
0.406667,23.0080
0.410000,22.8480
0.413333,21.4111
0.416667,21.0323
0.420000,22.7892
0.423333,25.4795
0.426667,27.5434
0.430000,28.3813
0.433333,28.6530
0.436667,27.6054
0.440000,25.2170
0.443333,22.9928
0.446667,22.1583
0.450000,23.6598
0.453333,24.5293
0.456667,24.1456
0.460000,23.1509
0.463333,22.0547
0.466667,21.5667
0.470000,21.9521
0.473333,23.0479
0.476667,24.6758
0.480000,26.2080
0.483333,26.1677
0.486667,24.0000
