Distance_(inches),Gray_Value
0.000000,35.3333
0.003333,35.7760
0.006667,34.5177
0.010000,34.5926
0.013333,36.2102
0.016667,37.7692
0.020000,38.6690
0.023333,38.3416
0.026667,35.2370
0.030000,30.1395
0.033333,25.4024
0.036667,23.5401
0.040000,24.0388
0.043333,25.9610
0.046667,28.6789
0.050000,31.8224
0.053333,35.5791
0.056667,39.7350
0.060000,42.1129
0.063333,45.0882
0.066667,47.5480
0.070000,47.8709
0.073333,46.9612
0.076667,45.1236
0.080000,42.6977
0.083333,39.8448
0.086667,36.3363
0.090000,34.3333
0.093333,34.5609
0.096667,34.2326
0.100000,32.5736
0.103333,32.3542
0.106667,34.9647
0.110000,39.2564
0.113333,42.4782
0.116667,42.8088
0.120000,43.0580
0.123333,44.8184
0.126667,45.7261
0.130000,44.1011
0.133333,40.4073
0.136667,35.3829
0.140000,31.2140
0.143333,29.3333
0.146667,29.6589
0.150000,30.5149
0.153333,31.3850
0.156667,31.0897
0.160000,29.6521
0.163333,28.0895
0.166667,26.7577
0.170000,25.9519
0.173333,25.9910
0.176667,26.9988
0.180000,28.5376
0.183333,30.2272
0.186667,30.7287
0.190000,29.8643
0.193333,28.0491
0.196667,25.7212
0.200000,23.7829
0.203333,22.6559
0.206667,21.3824
0.210000,19.3732
0.213333,17.5866
0.216667,16.1750
0.220000,15.0676
0.223333,14.2373
0.226667,13.5426
0.230000,12.4922
0.233333,11.4651
0.236667,11.1525
0.240000,11.4379
0.243333,12.3046
0.246667,13.5492
0.250000,14.6254
0.253333,15.4031
0.256667,15.8941
0.260000,15.9922
0.263333,15.9963
0.266667,16.1980
0.270000,16.8363
0.273333,17.4642
0.276667,17.7683
0.280000,18.3798
0.283333,19.9147
0.286667,21.2963
0.290000,21.8140
0.293333,21.9571
0.296667,21.4531
0.300000,20.1859
0.303333,19.8250
0.306667,20.8452
0.310000,22.5174
0.313333,23.7017
0.316667,25.3416
0.320000,28.1359
0.323333,30.2859
0.326667,31.6653
0.330000,32.5644
0.333333,31.4684
0.336667,29.6718
0.340000,29.0465
0.343333,29.0395
0.346667,27.8316
0.350000,26.0887
0.353333,24.6929
0.356667,24.9048
0.360000,26.7985
0.363333,27.8062
0.366667,26.8984
0.370000,23.6941
0.373333,19.3340
0.376667,16.5171
0.380000,16.4112
0.383333,18.0458
0.386667,19.3641
0.390000,19.6605
0.393333,20.2739
0.396667,21.4766
0.400000,23.4574
0.403333,25.0742
0.406667,25.8413
0.410000,28.5212
0.413333,34.1216
0.416667,39.2654
0.420000,43.6322
0.423333,46.8337
0.426667,47.3510
0.430000,43.3333
