Distance_(inches),Gray_Value
0.000000,56.3333
0.003333,55.2252
0.006667,57.6501
0.010000,59.2174
0.013333,60.8037
0.016667,62.9608
0.020000,60.5050
0.023333,65.0347
0.026667,63.3409
0.030000,57.6194
0.033333,58.1838
0.036667,62.3550
0.040000,65.5030
0.043333,61.5337
0.046667,65.7860
0.050000,63.9374
0.053333,64.3859
0.056667,60.6726
0.060000,59.4539
0.063333,60.2329
0.066667,64.3660
0.070000,62.6825
0.073333,61.1232
0.076667,65.2688
0.080000,63.1782
0.083333,59.0536
0.086667,58.1371
0.090000,60.3199
0.093333,64.6026
0.096667,69.8568
0.100000,70.8451
0.103333,66.7848
0.106667,60.3294
0.110000,60.2973
0.113333,58.5719
0.116667,55.4093
0.120000,54.6913
0.123333,49.1667
0.126667,50.8227
0.130000,53.8249
0.133333,52.8123
0.136667,50.8063
0.140000,50.6986
0.143333,50.2347
0.146667,49.7986
0.150000,51.3618
0.153333,48.6679
0.156667,47.8964
0.160000,49.7792
0.163333,52.1594
0.166667,51.2050
0.170000,52.1827
0.173333,51.4427
0.176667,48.8695
0.180000,50.0485
0.183333,50.8868
0.186667,50.4108
0.190000,49.4166
0.193333,52.1200
0.196667,49.1230
0.200000,48.7984
0.203333,46.2308
0.206667,49.8361
0.210000,44.9417
0.213333,47.2291
0.216667,46.0497
0.220000,48.8712
0.223333,45.6973
0.226667,50.3083
0.230000,50.9046
0.233333,51.4349
0.236667,49.0448
0.240000,49.9009
0.243333,50.1536
0.246667,50.3333
