Distance_(inches),Gray_Value
0.000000,50.3333
0.003333,50.2625
0.006667,52.3068
0.010000,54.3333
0.013333,55.7198
0.016667,57.7611
0.020000,58.4336
0.023333,59.4956
0.026667,59.6785
0.030000,56.7699
0.033333,62.5074
0.036667,54.6460
0.040000,57.0177
0.043333,66.3864
0.046667,61.0000
0.050000,62.1268
0.053333,60.8791
0.056667,63.0118
0.060000,59.7257
0.063333,57.8614
0.066667,60.9469
0.070000,61.5369
0.073333,62.3746
0.076667,59.0000
0.080000,60.2035
0.083333,66.8466
0.086667,61.0000
0.090000,59.1917
0.093333,56.3746
0.096667,63.2183
0.100000,63.0649
0.103333,58.5457
0.106667,54.9528
0.110000,55.6047
0.113333,60.0501
0.116667,58.3628
0.120000,58.2684
0.123333,55.5103
0.126667,63.3658
0.130000,61.6844
0.133333,62.9410
0.136667,61.4543
0.140000,64.5310
0.143333,65.5251
0.146667,66.8732
0.150000,64.5280
0.153333,68.6755
0.156667,64.0973
0.160000,66.5988
0.163333,63.3009
0.166667,61.0000
0.170000,61.0000
0.173333,59.6903
0.176667,67.3304
0.180000,75.8909
0.183333,67.0000
0.186667,67.0472
0.190000,71.3038
0.193333,71.2448
0.196667,65.4602
0.200000,59.8260
0.203333,67.6903
0.206667,73.1563
0.210000,64.1770
0.213333,66.0266
0.216667,67.8024
0.220000,60.4572
0.223333,61.0000
0.226667,63.7434
0.230000,58.0501
0.233333,55.3776
0.236667,61.1091
0.240000,60.9558
0.243333,68.1091
0.246667,64.7286
0.250000,65.6667
0.253333,56.3333
0.256667,57.6136
0.260000,53.0354
0.263333,49.5546
0.266667,45.3451
0.270000,49.3156
0.273333,53.5546
0.276667,50.2094
0.280000,46.3864
0.283333,52.0000
0.286667,48.4218
0.290000,46.4926
0.293333,46.5634
0.296667,55.6814
0.300000,52.4336
0.303333,52.9587
0.306667,52.0000
0.310000,48.9174
0.313333,46.9882
0.316667,49.6637
0.320000,49.7434
0.323333,51.2773
0.326667,50.2802
0.330000,49.3422
0.333333,47.2537
0.336667,46.3333
0.340000,52.9086
0.343333,54.4779
0.346667,52.0000
0.350000,45.7935
0.353333,50.3333
0.356667,51.2212
0.360000,46.6873
0.363333,43.4690
0.366667,52.7434
0.370000,52.4956
0.373333,52.2478
0.376667,48.3333
