Distance_(inches),Gray_Value
0.000000,67.0000
0.003333,66.9671
0.006667,69.6609
0.010000,69.8428
0.013333,69.5785
0.016667,73.0920
0.020000,75.0446
0.023333,79.7312
0.026667,77.4240
0.030000,75.3140
0.033333,76.2920
0.036667,76.5294
0.040000,76.0598
0.043333,79.7349
0.046667,80.3215
0.050000,82.6557
0.053333,84.7372
0.056667,79.1058
0.060000,79.3366
0.063333,83.0389
0.066667,81.1086
0.070000,81.8231
0.073333,81.0313
0.076667,83.2914
0.080000,84.4505
0.083333,83.6454
0.086667,88.0965
0.090000,84.5316
0.093333,87.4788
0.096667,88.6614
0.100000,87.3820
0.103333,88.9128
0.106667,84.1614
0.110000,81.7603
0.113333,85.6408
0.116667,90.6704
0.120000,89.5896
0.123333,85.5347
0.126667,80.6767
0.130000,79.0650
0.133333,79.7012
0.136667,71.6225
0.140000,63.9502
0.143333,68.7879
0.146667,69.8557
0.150000,61.0124
0.153333,68.8633
0.156667,71.2674
0.160000,75.7903
0.163333,74.7747
0.166667,77.0186
0.170000,76.5751
0.173333,74.9619
0.176667,75.0489
0.180000,76.5721
0.183333,76.4357
0.186667,80.4537
0.190000,81.1700
0.193333,76.9959
0.196667,78.3333
0.200000,73.6171
0.203333,69.6065
0.206667,68.0153
0.210000,66.8781
0.213333,64.3498
0.216667,67.2402
0.220000,68.1971
0.223333,71.1613
0.226667,65.8780
0.230000,66.7171
0.233333,66.0436
0.236667,61.7695
0.240000,70.7583
0.243333,67.3020
0.246667,67.2787
0.250000,68.5974
0.253333,66.8627
0.256667,68.5201
0.260000,67.3767
0.263333,64.7727
0.266667,64.7556
0.270000,62.0272
0.273333,62.8044
0.276667,63.7734
0.280000,66.8961
0.283333,65.0126
0.286667,63.2212
0.290000,59.1031
0.293333,61.5438
0.296667,57.6292
0.300000,59.7952
0.303333,62.9292
0.306667,62.0138
0.310000,62.2797
0.313333,61.1795
0.316667,59.6094
0.320000,60.1631
0.323333,55.4855
0.326667,54.8719
0.330000,53.0378
0.333333,51.5100
0.336667,54.3333
