Distance_(inches),Gray_Value
0.000000,63.3333
0.003333,65.6857
0.006667,65.4762
0.010000,54.7190
0.013333,61.0000
0.016667,62.8333
0.020000,62.9619
0.023333,63.5667
0.026667,65.1333
0.030000,57.7048
0.033333,63.8571
0.036667,65.8762
0.040000,69.9524
0.043333,73.5048
0.046667,71.8667
0.050000,76.8333
0.053333,79.3048
0.056667,72.5476
0.060000,76.8476
0.063333,77.7905
0.066667,79.7619
0.070000,70.1667
0.073333,75.6095
0.076667,71.8571
0.080000,72.5143
0.083333,68.2381
0.086667,69.6667
0.090000,74.9000
0.093333,69.6667
0.096667,63.3333
0.100000,68.5238
0.103333,63.3333
0.106667,70.2000
0.110000,64.5667
0.113333,66.3524
0.116667,76.3333
0.120000,69.1048
0.123333,69.6667
0.126667,68.2190
0.130000,66.2571
0.133333,67.0000
0.136667,68.1048
0.140000,68.0667
0.143333,69.8857
0.146667,66.3048
0.150000,68.5476
0.153333,65.5048
0.156667,65.4143
0.160000,61.9714
0.163333,66.6000
0.166667,61.3333
0.170000,62.7000
0.173333,59.0000
0.176667,53.7000
0.180000,59.9905
0.183333,55.9048
0.186667,59.0000
0.190000,58.1333
0.193333,54.3333
0.196667,47.2238
0.200000,49.2381
0.203333,51.7857
0.206667,48.5619
0.210000,53.7333
0.213333,44.2000
0.216667,44.1667
0.220000,46.3333
0.223333,46.4190
0.226667,46.3905
0.230000,46.3619
0.233333,48.3333
