Distance_(inches),Gray_Value
0.000000,34.0000
0.003333,39.0956
0.006667,41.6528
0.010000,42.6812
0.013333,45.2212
0.016667,49.2926
0.020000,56.2161
0.023333,60.2535
0.026667,59.3625
0.030000,69.9483
0.033333,71.0116
0.036667,69.9710
0.040000,71.5942
0.043333,67.9529
0.046667,64.6251
0.050000,65.7246
0.053333,64.1449
0.056667,63.5161
0.060000,60.9792
0.063333,62.3766
0.066667,60.3457
0.070000,56.5929
0.073333,51.2657
0.076667,52.1111
0.080000,48.8355
0.083333,50.9912
0.086667,48.9593
0.090000,49.6919
0.093333,51.3151
0.096667,53.3587
0.100000,57.4266
0.103333,55.3566
0.106667,56.7190
0.110000,56.7272
0.113333,55.8778
0.116667,53.5022
0.120000,54.4480
0.123333,52.8206
0.126667,54.0769
0.130000,54.1336
0.133333,54.0870
0.136667,51.1664
0.140000,49.5060
0.143333,46.8095
0.146667,48.1609
0.150000,48.9622
0.153333,48.4444
0.156667,41.4869
0.160000,44.3692
0.163333,43.2485
0.166667,44.1134
0.170000,45.1670
0.173333,45.3333
0.176667,44.9943
0.180000,42.4499
0.183333,40.7498
0.186667,41.3050
0.190000,40.6345
0.193333,41.8534
0.196667,41.5217
0.200000,41.1550
0.203333,39.5742
0.206667,41.1708
0.210000,40.5539
0.213333,42.9855
0.216667,45.2502
0.220000,43.2199
0.223333,41.4680
0.226667,35.4871
0.230000,29.0000
