Distance_(inches),Gray_Value
0.000000,37.0000
0.003333,47.6954
0.006667,60.7223
0.010000,68.5387
0.013333,66.7131
0.016667,62.8073
0.020000,60.5443
0.023333,59.5610
0.026667,59.5135
0.030000,59.4703
0.033333,54.2817
0.036667,48.5156
0.040000,45.4708
0.043333,43.6916
0.046667,42.3718
0.050000,39.8646
0.053333,38.4147
0.056667,39.9228
0.060000,42.9516
0.063333,46.9617
0.066667,52.6190
0.070000,60.1058
0.073333,65.7447
0.076667,63.3665
0.080000,58.0792
0.083333,54.6047
0.086667,52.3759
0.090000,49.9977
0.093333,48.1411
0.096667,47.5184
0.100000,48.8714
0.103333,52.1533
0.106667,57.2757
0.110000,59.7603
0.113333,57.9039
0.116667,54.7102
0.120000,51.4658
0.123333,49.6983
0.126667,50.0939
0.130000,50.6050
0.133333,48.8637
0.136667,46.7300
0.140000,46.5994
0.143333,45.9872
0.146667,43.4041
0.150000,40.5131
0.153333,38.5957
0.156667,37.5000
0.160000,36.9244
0.163333,36.6074
0.166667,36.5111
0.170000,36.3908
0.173333,34.7577
0.176667,32.3593
0.180000,30.7036
0.183333,27.7087
0.186667,22.6457
0.190000,18.1631
0.193333,14.2500
0.196667,10.1183
0.200000,6.5499
0.203333,3.8475
0.206667,2.2199
0.210000,2.3625
0.213333,3.3422
0.216667,4.2626
0.220000,5.2404
0.223333,6.3310
0.226667,7.9584
0.230000,9.8565
0.233333,10.9523
0.236667,10.0146
0.240000,7.4627
0.243333,5.3369
0.246667,3.8569
0.250000,1.8334
0.253333,0.0459
0.256667,0.0000
0.260000,0.0000
0.263333,0.0000
0.266667,0.0000
0.270000,0.0000
0.273333,0.0000
0.276667,0.0000
0.280000,0.0332
0.283333,0.4460
0.286667,1.4823
0.290000,1.4830
0.293333,0.2257
0.296667,0.0000
0.300000,0.0000
0.303333,0.0000
0.306667,0.0000
0.310000,0.0000
0.313333,4.547E-13
