Distance_(inches),Gray_Value
0.000000,26.3333
0.003333,26.4346
0.006667,26.5359
0.010000,27.4346
0.013333,28.0717
0.016667,28.8354
0.020000,29.8692
0.023333,31.2363
0.026667,32.0802
0.030000,32.1561
0.033333,32.3544
0.036667,32.3713
0.040000,31.7384
0.043333,30.1055
0.046667,28.9451
0.050000,28.8270
0.053333,29.1266
0.056667,28.4262
0.060000,28.9409
0.063333,29.3080
0.066667,30.3502
0.070000,30.7089
0.073333,31.0759
0.076667,31.6667
0.080000,31.6203
0.083333,30.6878
0.086667,30.2110
0.090000,29.2447
0.093333,29.0000
0.096667,29.2911
0.100000,28.6667
0.103333,27.9536
0.106667,26.3333
0.110000,26.4388
0.113333,25.8523
0.116667,26.6371
0.120000,26.2363
0.123333,26.1688
0.126667,25.7173
0.130000,25.3502
0.133333,25.2996
0.136667,24.6160
0.140000,24.9156
0.143333,24.1181
0.146667,24.4852
0.150000,24.3713
0.153333,24.8776
0.156667,24.2532
0.160000,24.0000
0.163333,23.6540
0.166667,23.0422
0.170000,22.6667
0.173333,23.0000
0.176667,23.6329
0.180000,24.1561
0.183333,24.0464
0.186667,23.6709
0.190000,23.0000
0.193333,23.0000
0.196667,23.3249
0.200000,23.6920
0.203333,23.1181
0.206667,23.5738
0.210000,23.3671
0.213333,24.1983
0.216667,23.9451
0.220000,24.0000
0.223333,23.0000
0.226667,22.6667
0.230000,21.3418
0.233333,20.6962
0.236667,20.7300
0.240000,22.2363
0.243333,22.7384
0.246667,22.5021
0.250000,21.4051
0.253333,21.3333
0.256667,21.0675
0.260000,21.7004
0.263333,21.3333
