Distance_(inches),Gray_Value
0.000000,43.3333
0.003333,45.8338
0.006667,47.5672
0.010000,48.0251
0.013333,47.8293
0.016667,47.6635
0.020000,46.7961
0.023333,45.7683
0.026667,44.9968
0.030000,44.7417
0.033333,44.3460
0.036667,44.6813
0.040000,45.2945
0.043333,46.0786
0.046667,46.7851
0.050000,46.7346
0.053333,47.1230
0.056667,47.2330
0.060000,47.3328
0.063333,47.4316
0.066667,47.7164
0.070000,47.9746
0.073333,48.1249
0.076667,49.0518
0.080000,49.9326
0.083333,49.7945
0.086667,51.0000
0.090000,51.9223
0.093333,52.6885
0.096667,53.1187
0.100000,51.9317
0.103333,51.5897
0.106667,51.8414
0.110000,51.9955
0.113333,51.1780
0.116667,50.9773
0.120000,50.3344
0.123333,49.4430
0.126667,47.7933
0.130000,46.0262
0.133333,44.5266
0.136667,43.9875
0.140000,43.2114
0.143333,41.3831
0.146667,38.9562
0.150000,36.7069
0.153333,36.0061
0.156667,35.3073
0.160000,34.1833
0.163333,33.3171
0.166667,32.2463
0.170000,31.1974
0.173333,30.0755
0.176667,29.3333
0.180000,28.8285
0.183333,28.1348
0.186667,28.3594
0.190000,28.3977
0.193333,27.6084
0.196667,27.3675
0.200000,27.6576
0.203333,28.2298
0.206667,28.6495
0.210000,28.9482
0.213333,28.8491
0.216667,29.2071
0.220000,28.8601
0.223333,28.4819
0.226667,27.6893
0.230000,27.7241
0.233333,27.8809
0.236667,28.2756
0.240000,28.1262
0.243333,27.6129
0.246667,27.5279
0.250000,28.3754
0.253333,28.7925
0.256667,29.0351
0.260000,29.3787
0.263333,29.5993
0.266667,29.9513
0.270000,29.9117
0.273333,29.5464
0.276667,28.9990
0.280000,29.1640
0.283333,29.1100
0.286667,29.0000
0.290000,28.8219
0.293333,28.6855
0.296667,29.1146
0.300000,28.9200
0.303333,28.4022
0.306667,28.1715
0.310000,28.3333
0.313333,28.2233
0.316667,28.4661
0.320000,28.7786
0.323333,28.7961
0.326667,28.3108
0.330000,27.4434
0.333333,27.0154
0.336667,26.8238
0.340000,26.7723
0.343333,26.6667
