Distance_(inches),Gray_Value
0.000000,43.3333
0.003333,44.2938
0.006667,45.2072
0.010000,45.6834
0.013333,45.8166
0.016667,44.7619
0.020000,45.1682
0.023333,46.8333
0.026667,48.6067
0.030000,50.0353
0.033333,50.9626
0.036667,48.6429
0.040000,51.4097
0.043333,50.7412
0.046667,49.0303
0.050000,53.1905
0.053333,53.2273
0.056667,54.2600
0.060000,57.5912
0.063333,56.3333
0.066667,55.9901
0.070000,55.5758
0.073333,58.7891
0.076667,57.5677
0.080000,54.1880
0.083333,52.0609
0.086667,52.4264
0.090000,52.7913
0.093333,48.0606
0.096667,52.4904
0.100000,51.6707
0.103333,53.2362
0.106667,50.9103
0.110000,48.2381
0.113333,45.9100
0.116667,47.2424
0.120000,45.1200
0.123333,39.5656
0.126667,41.6592
0.130000,40.8151
0.133333,37.9202
0.136667,36.0356
0.140000,36.3333
0.143333,34.1642
0.146667,32.4524
0.150000,33.9029
0.153333,33.4156
0.156667,31.4057
0.160000,33.6181
0.163333,32.5606
0.166667,31.3207
0.170000,32.6163
0.173333,32.4586
0.176667,34.4978
0.180000,34.1342
0.183333,33.8129
0.186667,35.8030
0.190000,36.0801
0.193333,34.0665
0.196667,33.2857
0.200000,33.0476
0.203333,31.2928
0.206667,31.8247
0.210000,33.4697
0.213333,33.7635
0.216667,31.8139
0.220000,32.3503
0.223333,33.0476
0.226667,34.5720
0.230000,35.5686
0.233333,34.9545
0.236667,34.0000
0.240000,34.3766
0.243333,34.3429
0.246667,36.0377
0.250000,36.5591
0.253333,39.2403
0.256667,39.8333
