Distance_(inches),Gray_Value
0.000000,38.3333
0.003333,39.7356
0.006667,40.4210
0.010000,41.3520
0.013333,41.3159
0.016667,41.4536
0.020000,41.4427
0.023333,42.7429
0.026667,45.4412
0.030000,48.4431
0.033333,52.8309
0.036667,55.1571
0.040000,54.9017
0.043333,50.6809
0.046667,45.9418
0.050000,43.6108
0.053333,43.2132
0.056667,43.1149
0.060000,42.4356
0.063333,41.7165
0.066667,41.5039
0.070000,40.9885
0.073333,40.3830
0.076667,40.2615
0.080000,41.9342
0.083333,44.3321
0.086667,46.0722
0.090000,47.8391
0.093333,49.3229
0.096667,49.8148
0.100000,49.9461
0.103333,49.3027
0.106667,47.0947
0.110000,44.8843
0.113333,44.1803
0.116667,44.8226
0.120000,46.0713
0.123333,46.5824
0.126667,45.8774
0.130000,45.1379
0.133333,43.6284
0.136667,43.2253
0.140000,42.8506
0.143333,42.1738
0.146667,41.0045
0.150000,39.3742
0.153333,37.3127
0.156667,35.5555
0.160000,33.6675
0.163333,32.5268
0.166667,31.2101
0.170000,30.7126
0.173333,30.9885
0.176667,31.0298
0.180000,30.9655
0.183333,30.4499
0.186667,29.8197
0.190000,29.2414
0.193333,29.0370
0.196667,28.8363
0.200000,28.4887
0.203333,28.3613
0.206667,28.0021
0.210000,27.9251
0.213333,29.0828
0.216667,29.3025
0.220000,28.9211
0.223333,28.0096
0.226667,27.5654
0.230000,27.4891
0.233333,27.9517
0.236667,28.5454
0.240000,28.7662
0.243333,28.2943
0.246667,28.0268
0.250000,28.2069
0.253333,28.3487
0.256667,28.6935
0.260000,28.7915
0.263333,29.1031
0.266667,29.0190
0.270000,28.4098
0.273333,27.9962
0.276667,28.7147
0.280000,28.5656
0.283333,28.6322
0.286667,28.1599
0.290000,27.6667
