Distance_(inches),Gray_Value
0.000000,4.0000
0.003333,2.5892
0.006667,2.6780
0.010000,2.4560
0.013333,3.7078
0.016667,3.9366
0.020000,2.7222
0.023333,4.5938
0.026667,6.1193
0.030000,8.3646
0.033333,11.4038
0.036667,10.6888
0.040000,9.4815
0.043333,10.7234
0.046667,10.8282
0.050000,12.3831
0.053333,11.7449
0.056667,12.9033
0.060000,12.8333
0.063333,12.3998
0.066667,10.5597
0.070000,12.0475
0.073333,14.4558
0.076667,14.8899
0.080000,14.5185
0.083333,16.0926
0.086667,17.2984
0.090000,17.7292
0.093333,16.8807
0.096667,16.8897
0.100000,16.6667
0.103333,14.1106
0.106667,13.1358
0.110000,14.3542
0.113333,16.0494
0.116667,18.2531
0.120000,16.6667
0.123333,18.7374
0.126667,18.7932
0.130000,17.9329
0.133333,17.1193
0.136667,15.4069
0.140000,16.9352
0.143333,14.5157
0.146667,14.3333
0.150000,12.9062
0.153333,10.8056
0.156667,11.0646
0.160000,9.2593
0.163333,8.6842
0.166667,8.5257
0.170000,6.9236
0.173333,5.2037
0.176667,7.6878
0.180000,7.5417
0.183333,5.0934
0.186667,5.4774
0.190000,6.9213
0.193333,5.0869
0.196667,5.1618
0.200000,7.0370
0.203333,5.4605
0.206667,4.0612
0.210000,5.7396
0.213333,6.5720
0.216667,6.2778
0.220000,4.9954
0.223333,6.2963
0.226667,4.2737
0.230000,3.3461
0.233333,3.8483
0.236667,4.1321
0.240000,4.0000
