Distance_(inches),Gray_Value
0.000000,52.6667
0.003333,55.3308
0.006667,54.8192
0.010000,56.3986
0.013333,58.9591
0.016667,61.2238
0.020000,59.1880
0.023333,60.7459
0.026667,61.7175
0.030000,65.0606
0.033333,63.8101
0.036667,66.1795
0.040000,64.9943
0.043333,66.0661
0.046667,65.2791
0.050000,66.2681
0.053333,67.8868
0.056667,67.4230
0.060000,64.6027
0.063333,64.9447
0.066667,66.8466
0.070000,65.2651
0.073333,66.2051
0.076667,65.8150
0.080000,68.1379
0.083333,67.1988
0.086667,69.1515
0.090000,66.2083
0.093333,69.2812
0.096667,69.4632
0.100000,69.6287
0.103333,66.5433
0.106667,69.8940
0.110000,69.0513
0.113333,68.2630
0.116667,66.1390
0.120000,66.5917
0.123333,68.3020
0.126667,67.7879
0.130000,65.8788
0.133333,65.5418
0.136667,67.4658
0.140000,69.4378
0.143333,68.0267
0.146667,66.7436
0.150000,67.6262
0.153333,68.2952
0.156667,68.6548
0.160000,68.3910
0.163333,67.6853
0.166667,69.1274
0.170000,68.1812
0.173333,67.2617
0.176667,67.1449
0.180000,64.7703
0.183333,65.6667
0.186667,65.7811
0.190000,62.0559
0.193333,61.9672
0.196667,61.1998
0.200000,62.2914
0.203333,62.0000
0.206667,60.7879
0.210000,60.7624
0.213333,60.9171
0.216667,59.4105
0.220000,59.6923
0.223333,59.2049
0.226667,57.1617
0.230000,54.4387
0.233333,57.6372
0.236667,56.0000
0.240000,53.0000
0.243333,54.2664
0.246667,53.9833
0.250000,53.9049
0.253333,55.9557
0.256667,52.1282
0.260000,49.4463
0.263333,51.3333
0.266667,51.6220
0.270000,55.8199
0.273333,51.4228
0.276667,52.1267
0.280000,51.1113
0.283333,53.1933
0.286667,52.7226
0.290000,51.3577
0.293333,54.7949
0.296667,51.3051
0.300000,51.6989
0.303333,53.3939
0.306667,52.4639
0.310000,56.0381
0.313333,55.3946
0.316667,53.4971
0.320000,53.2119
0.323333,52.8551
0.326667,52.9078
0.330000,52.0513
0.333333,52.1411
0.336667,50.9837
0.340000,50.3475
0.343333,52.3107
0.346667,51.5813
0.350000,49.5113
0.353333,52.2471
0.356667,52.6949
0.360000,51.9207
0.363333,53.3952
0.366667,58.6667
0.370000,53.1360
0.373333,54.0267
0.376667,54.1441
0.380000,51.3713
0.383333,53.6075
0.386667,53.3365
0.390000,53.2948
0.393333,54.2026
0.396667,55.0163
0.400000,53.7190
0.403333,54.2051
0.406667,53.0443
0.410000,52.9515
0.413333,54.2401
0.416667,54.9078
0.420000,52.5787
0.423333,50.7023
0.426667,51.9604
0.430000,52.9184
0.433333,54.4022
0.436667,52.3160
0.440000,51.0000
0.443333,54.1305
0.446667,54.9040
0.450000,55.7485
0.453333,54.8788
0.456667,50.4709
0.460000,55.2424
0.463333,50.0134
0.466667,51.6665
0.470000,52.2751
0.473333,51.7480
0.476667,51.0000
