Distance_(inches),Gray_Value
0.000000,58.6667
0.003333,55.9277
0.006667,54.7287
0.010000,54.9559
0.013333,54.9201
0.016667,55.6667
0.020000,57.6185
0.023333,60.6212
0.026667,62.7576
0.030000,61.8244
0.033333,61.0840
0.036667,62.0000
0.040000,62.2424
0.043333,64.4256
0.046667,61.9311
0.050000,62.3085
0.053333,59.7603
0.056667,60.3230
0.060000,62.4132
0.063333,60.7114
0.066667,61.8650
0.070000,61.8561
0.073333,61.1667
0.076667,63.2955
0.080000,62.9256
0.083333,61.6061
0.086667,61.1253
0.090000,59.5578
0.093333,59.8843
0.096667,56.7741
0.100000,53.0964
0.103333,52.6667
0.106667,54.5758
0.110000,53.5833
0.113333,51.7686
0.116667,49.5317
0.120000,52.1736
0.123333,56.5758
0.126667,56.1006
0.130000,51.5152
0.133333,49.9091
0.136667,48.0599
0.140000,44.9862
0.143333,47.9208
0.146667,49.0000
0.150000,46.2197
0.153333,45.5317
0.156667,46.5978
0.160000,44.5895
0.163333,43.8912
0.166667,43.4821
0.170000,42.8581
0.173333,42.3554
0.176667,42.8788
0.180000,41.8678
0.183333,39.2500
0.186667,37.2452
0.190000,40.6426
0.193333,38.0689
0.196667,38.8884
0.200000,36.7879
0.203333,39.4904
0.206667,38.6267
0.210000,38.0000
0.213333,39.0606
0.216667,37.7727
0.220000,37.1667
0.223333,38.8375
0.226667,41.0744
0.230000,39.6667
0.233333,39.4601
0.236667,38.9298
0.240000,37.4628
0.243333,37.9146
0.246667,41.2645
0.250000,35.3216
0.253333,37.5427
0.256667,36.7500
0.260000,36.3333
0.263333,37.2259
0.266667,38.2893
0.270000,38.4373
0.273333,37.6970
0.276667,37.9036
0.280000,38.0661
0.283333,34.7975
0.286667,39.0441
0.290000,39.3747
0.293333,43.3333
