Distance_(inches),Gray_Value
0.000000,20.6667
0.003333,24.9924
0.006667,31.1903
0.010000,32.4839
0.013333,31.4932
0.016667,36.3007
0.020000,34.9250
0.023333,35.6014
0.026667,34.4167
0.030000,38.3454
0.033333,36.6448
0.036667,36.3923
0.040000,35.9401
0.043333,33.0015
0.046667,34.0102
0.050000,34.6355
0.053333,34.1425
0.056667,34.4108
0.060000,38.9333
0.063333,35.8703
0.066667,38.1215
0.070000,39.6863
0.073333,39.8808
0.076667,38.1104
0.080000,36.7693
0.083333,35.5679
0.086667,37.4744
0.090000,37.7125
0.093333,37.4151
0.096667,38.7741
0.100000,40.9021
0.103333,45.2935
0.106667,43.6381
0.110000,43.5318
0.113333,43.8642
0.116667,39.8901
0.120000,36.4300
0.123333,35.2339
0.126667,36.1603
0.130000,38.2748
0.133333,38.6914
0.136667,40.8753
0.140000,39.7536
0.143333,38.1431
0.146667,39.7050
0.150000,38.2033
0.153333,36.4283
0.156667,39.4026
0.160000,38.4443
0.163333,40.1078
0.166667,42.1089
0.170000,45.3175
0.173333,46.1379
0.176667,48.2883
0.180000,43.0878
0.183333,35.7748
0.186667,40.0852
0.190000,40.4553
0.193333,36.6033
0.196667,37.0759
0.200000,38.5674
0.203333,39.6158
0.206667,40.3658
0.210000,40.7034
0.213333,40.4928
0.216667,42.3165
0.220000,39.7415
0.223333,41.4801
0.226667,41.4901
0.230000,41.4122
0.233333,38.8590
0.236667,35.9179
0.240000,35.3637
0.243333,35.3702
0.246667,35.9028
0.250000,37.4540
0.253333,35.0509
0.256667,33.5571
0.260000,31.7193
0.263333,29.4957
0.266667,30.6612
0.270000,31.7294
0.273333,29.7939
0.276667,28.8076
0.280000,27.8221
0.283333,26.6457
0.286667,28.6192
0.290000,28.6121
0.293333,26.7863
0.296667,26.6574
0.300000,28.6517
0.303333,27.8396
0.306667,27.2324
0.310000,26.8856
0.313333,29.2513
0.316667,27.4496
0.320000,28.1492
0.323333,27.6605
0.326667,28.4410
0.330000,26.5143
0.333333,27.3005
0.336667,26.6285
0.340000,27.3677
0.343333,26.2286
0.346667,24.9759
0.350000,27.2585
0.353333,26.8886
0.356667,28.0265
0.360000,27.8357
0.363333,27.3051
0.366667,24.3615
0.370000,25.4159
0.373333,25.1576
0.376667,26.4967
0.380000,27.3889
0.383333,27.4387
0.386667,26.2424
0.390000,25.6743
0.393333,28.1234
0.396667,24.0961
0.400000,24.9821
0.403333,27.5041
0.406667,25.6945
0.410000,23.3506
0.413333,22.2223
0.416667,22.2472
0.420000,24.5387
0.423333,26.2721
0.426667,24.9112
0.430000,26.1253
0.433333,25.6932
0.436667,24.3333
