Distance_(inches),Gray_Value
0.000000,9.3333
0.003333,11.1081
0.006667,12.3514
0.010000,15.4595
0.013333,16.7387
0.016667,13.7838
0.020000,15.2072
0.023333,19.9640
0.026667,23.0000
0.030000,25.2477
0.033333,23.4324
0.036667,23.9910
0.040000,21.7477
0.043333,18.1622
0.046667,17.4414
0.050000,19.2883
0.053333,13.8198
0.056667,19.9730
0.060000,16.2883
0.063333,19.3333
0.066667,19.7297
0.070000,19.7072
0.073333,19.3333
0.076667,21.2613
0.080000,20.1622
0.083333,16.4144
0.086667,18.6486
0.090000,17.4505
0.093333,17.4955
0.096667,17.2252
0.100000,15.9279
0.103333,14.4775
0.106667,15.0991
0.110000,16.3063
0.113333,19.1892
0.116667,18.0631
0.120000,19.7297
0.123333,19.0000
0.126667,18.5766
0.130000,18.0631
0.133333,14.6667
0.136667,13.9459
0.140000,16.0000
0.143333,16.0000
0.146667,13.3333
0.150000,11.4685
0.153333,14.5225
0.156667,11.0946
0.160000,13.1712
0.163333,12.7117
0.166667,15.4955
0.170000,12.9640
0.173333,11.5315
0.176667,11.6892
0.180000,10.6306
0.183333,13.3333
0.186667,10.9009
0.190000,10.3333
0.193333,12.4775
0.196667,11.3198
0.200000,15.7477
0.203333,12.9685
0.206667,14.0360
0.210000,13.6757
0.213333,9.9820
0.216667,12.6667
0.220000,13.7477
0.223333,11.7523
0.226667,14.0180
0.230000,11.5405
0.233333,12.3063
0.236667,12.5225
0.240000,12.9279
0.243333,12.7117
0.246667,12.6667
